AverageReturn,AverageDiscountedReturn,StdEsReturn,AverageAbsQ,PolicyRegParamNorm,MinReturn,AverageAbsQYDiff,AveragePolicySurr,StdReturn,Epoch,AverageQ,MaxReturn,Iteration,MaxEsReturn,QFunRegParamNorm,MinEsReturn,AverageQLoss,AverageEsReturn,AverageY,AverageAbsY,AverageAction
262.092007387,144.987229428,21.1387038881,143.291,43.356,252.212904923,3.04120951116,-146.872,4.90249112398,97,143.165,273.453581441,97,312.29552403,77.1483,245.828829154,48.1435,272.969874502,143.17957345,143.213577201,0.764559
272.747499266,148.903195184,106.053655994,144.701,43.5347,261.893692713,3.12383772188,-148.401,4.90907575467,98,144.574,283.887636227,98,310.405884489,77.5845,7.37883257561,51.1805,165.147278573,144.588340546,144.612841165,0.750237
260.151143043,144.863993736,92.5059124018,146.537,43.7299,251.253454952,3.09565148024,-150.127,3.25429416269,99,146.409,267.310059952,99,324.891663108,78.0279,45.3626482793,46.384,221.452421253,146.420840163,146.443178836,0.767501
262.681434304,145.337124913,103.437313628,147.664,43.8936,251.496079767,3.19832824224,-151.331,5.62980832602,100,147.517,278.937172793,100,324.323645708,78.4778,8.81190893902,51.6136,213.465400452,147.533385694,147.566918334,0.785066
263.342310645,145.890970146,124.448253924,149.227,44.1626,231.754284385,3.1404690091,-152.878,13.5407636333,101,149.099,287.95321281,101,330.793585472,78.9132,8.11028555659,48.5197,195.339504335,149.113165304,149.140470769,0.781623
270.825912203,148.12942173,88.3748631903,151.18,44.3365,247.320511313,3.12582156293,-154.896,8.15779366899,102,151.048,287.484999853,102,308.422214434,79.2923,7.7079776312,51.2096,236.492013836,151.061941452,151.088802186,0.7479
247.944692742,140.53631488,84.5908021867,152.055,44.5108,207.655317981,3.14625613698,-155.877,13.1983025608,103,151.922,268.913448548,103,309.445018773,79.77,51.701047094,51.7631,240.486762255,151.941458214,151.968580297,0.785128
249.978175279,140.939017084,113.00098432,153.577,44.6967,219.89855858,3.31463832454,-157.376,12.9948254192,104,153.46,270.545870075,104,288.359251469,80.2501,14.7837262862,61.2575,182.893089868,153.462213845,153.482532274,0.7808
265.249887003,146.088235464,100.48460119,154.952,44.9476,244.036388554,3.2492233941,-158.764,10.7403804011,105,154.83,287.638636554,105,333.388328684,80.596,7.04489751039,59.7277,217.404643693,154.84848288,154.869225366,0.801585
279.059387893,150.548952916,99.8809296108,156.443,45.1223,268.127771344,3.31386116488,-160.284,5.08118048322,106,156.32,295.852118462,106,309.809209639,80.986,18.7015039002,57.8926,141.375295965,156.32894281,156.346598905,0.781284
286.783944214,153.384748705,77.2213059451,157.996,45.346,266.115682304,3.35741115758,-161.776,11.7465793018,107,157.88,326.700690404,107,329.091666675,81.4742,43.3848675267,62.8612,230.723028389,157.895140612,157.915429247,0.751804
339.589676673,168.379270949,74.5846730126,159.164,45.543,272.792496683,3.32191716419,-163.006,39.6645536851,108,159.039,467.574801582,108,325.598579802,81.9523,85.1285760094,61.2325,229.606950353,159.053324276,159.071963479,0.763297
281.215949685,152.896517598,138.000496733,160.306,45.7462,255.758002395,3.36828805991,-164.188,10.8227230686,109,160.176,308.626559,109,365.995010032,82.37,9.27764329791,59.3683,155.302216233,160.184570798,160.210011932,0.755837
272.797595707,150.750019487,132.611172551,161.922,45.9137,256.25886273,3.38442749014,-165.861,17.8719460771,110,161.785,343.839728038,110,375.035297197,82.7765,8.21557150489,60.7621,191.692603164,161.795853598,161.827636168,0.743944
442.88395476,185.943345448,119.622449106,163.517,46.0714,366.956644481,3.44205575563,-167.447,38.0598537236,111,163.355,530.111294585,111,377.566031993,83.2502,5.15079708359,64.8242,163.550474238,163.375627173,163.406232667,0.779904
432.112244074,195.889843186,169.779897356,164.635,46.323,348.400897471,3.48510432336,-168.631,49.9301205657,112,164.488,526.054241809,112,533.383554247,83.7041,6.44832644008,67.1072,269.730765866,164.50400727,164.53748104,0.832045
460.416473283,203.660927491,125.163861983,166.303,46.5094,346.946099373,3.48664909319,-170.291,56.1824672285,113,166.153,613.565110698,113,460.344028403,84.1395,78.1645627868,65.806,303.229955273,166.163047289,166.200671037,0.830447
