AverageAction,PolicyRegParamNorm,Epoch,MinReturn,AveragePolicySurr,AverageEsReturn,StdEsReturn,AverageQ,AverageAbsY,StdReturn,MaxReturn,AverageAbsQ,AverageDiscountedReturn,Iteration,AverageReturn,AverageQLoss,AverageAbsQYDiff,QFunRegParamNorm,MinEsReturn,AverageY,MaxEsReturn
0.929632,38.6402,104,262.066178334,-5.2052,714.446160963,0.0,5.10963,5.11056229867,361.569901547,1571.130893,5.10963,132.062536028,104,808.632276538,0.0511226,0.113419572485,38.4602,714.446160963,5.11050417014,714.446160963
0.89873,38.8168,105,603.450575099,-5.24892,546.575483793,0.0,5.15276,5.15348886711,275.767647851,1403.5972531,5.15276,105.760920457,105,858.612448239,0.0425222,0.109981474876,38.6583,546.575483793,5.15342176694,546.575483793
0.90745,38.9539,106,917.760846424,-5.35086,630.212081648,0.0,5.25547,5.25618764999,209.19950792,1718.40339405,5.25547,135.732441162,106,1475.01026758,0.0414134,0.111020329759,38.8056,630.212081648,5.25615861153,630.212081648
0.91314,39.1934,107,729.226929477,-5.39692,1117.76688606,0.0,5.30329,5.30386985558,409.59659107,1807.66651612,5.30329,126.200966852,107,1408.64546341,0.0463149,0.113460542957,38.9873,1117.76688606,5.30384598382,1117.76688606
0.921367,39.3932,108,680.826301124,-5.49607,632.735598491,0.0,5.39954,5.40012680349,148.536648828,1173.77303,5.39954,95.4667840903,108,938.549832717,0.0470536,0.115294848995,39.1788,632.735598491,5.40006620303,632.735598491
0.90224,39.5988,109,-140.604147628,-5.54168,776.70506256,0.0,5.44731,5.44799376401,416.097939985,1357.34912309,5.44731,138.976013709,109,763.25996868,0.0364982,0.109137421627,39.3821,776.70506256,5.4479551337,776.70506256
0.882109,39.8002,110,-170.874966345,-5.59806,415.148767691,0.0,5.50501,5.50591806679,308.586270682,1114.57641297,5.50501,116.091513383,110,544.069074447,0.0525313,0.116416833717,39.5949,415.148767691,5.50588224929,415.148767691
0.931792,40.0264,111,460.84995379,-5.68469,862.251832614,0.0,5.58923,5.5898998454,420.971693257,1782.34289081,5.58923,126.195990692,111,1417.53519764,0.0540243,0.116248427329,39.8253,862.251832614,5.58984752603,862.251832614
0.887471,40.2232,112,-35.8434716039,-5.74813,609.925977262,0.0,5.64811,5.64885744243,370.529955481,1483.80778809,5.64811,106.502981049,112,720.662116316,0.0478576,0.116286275284,40.06,609.925977262,5.64881233405,609.925977262
0.889871,40.3712,113,-36.6427255473,-5.79991,728.840544433,0.0,5.70043,5.70133559305,333.671657075,1241.99317294,5.70043,132.466163837,113,710.62101184,0.052163,0.119284634264,40.2681,728.840544433,5.70129072344,728.840544433
