Iteration,MinEsReturn,AverageAbsQYDiff,AverageDiscountedReturn,AverageQ,StdEsReturn,MaxEsReturn,AverageEsReturn,MinReturn,AverageAbsQ,Epoch,AverageQLoss,MaxReturn,AverageY,AverageAbsY,AverageAction,AverageReturn,StdReturn,PolicyRegParamNorm,AveragePolicySurr,QFunRegParamNorm
104,1255.51934496,0.133363336213,139.615698784,6.21549,0.0,1255.51934496,1255.51934496,367.904812408,6.21549,104,0.0649695,2179.51388021,6.21659204819,6.21664260979,0.936945,1148.71426207,659.229140037,50.3316,-6.3177,39.8357
105,955.905985984,0.128066902069,169.993042596,6.27476,0.0,955.905985984,955.905985984,390.893576344,6.27476,105,0.0511807,2320.70735916,6.27526910981,6.27536004332,0.928302,1295.12548861,626.268962241,50.503,-6.3702,40.0527
106,452.878973859,0.128713009474,157.865293525,6.38148,0.0,452.878973859,452.878973859,441.562112393,6.38148,106,0.0563291,2139.02034813,6.3820981119,6.38215999996,0.913996,999.468283185,469.206391508,50.6833,-6.47701,40.2004
107,1111.78383598,0.134839621465,187.954781245,6.44136,0.0,1111.78383598,1111.78383598,807.006320728,6.44136,107,0.0757329,2641.11962674,6.44256187911,6.44261175356,0.937584,1669.86449902,683.628983861,50.8996,-6.54024,40.4226
108,1528.61281303,0.133567655415,201.361066321,6.54304,0.0,1528.61281303,1528.61281303,585.043961071,6.54304,108,0.072291,2517.7947819,6.54337299619,6.54344824396,0.931941,1522.61017734,783.745851473,51.1222,-6.64052,40.5958
109,716.496139797,0.126649648434,182.569358731,6.62762,0.0,716.496139797,716.496139797,503.542226379,6.62762,109,0.0475838,2210.42450791,6.62862250202,6.62865174188,0.932948,1314.79778021,627.930098593,51.3613,-6.72943,40.7233
110,1429.0326689,0.136088689322,165.287828266,6.74856,0.0,1429.0326689,1429.0326689,486.879387593,6.74856,110,0.0788919,2172.60265001,6.74946481018,6.74954246312,0.947206,1516.92109505,605.277237699,51.6405,-6.85132,40.9149
111,1385.09381386,0.1325340268,148.948967788,6.81575,0.0,1385.09381386,1385.09381386,231.081202775,6.81575,111,0.0615828,2172.71807857,6.81657081232,6.81663652216,0.92999,897.629144486,644.75117823,51.923,-6.91858,41.1024
112,678.681976321,0.132113127709,177.40495155,6.89944,0.0,678.681976321,678.681976321,524.307737826,6.89944,112,0.062278,2304.87755166,6.90022523336,6.90029044835,0.960626,1820.06470412,478.649153019,52.1749,-7.00331,41.3118
113,861.947645767,0.138717472645,132.864116879,6.97554,0.0,861.947645767,861.947645767,385.409215314,6.97554,113,0.0791427,1163.16428095,6.97635016544,6.97641426053,0.905066,700.073672843,253.63431092,52.4297,-7.08048,41.447
114,549.557431754,0.136668113834,170.370395993,6.98838,0.0,549.557431754,549.557431754,766.283671254,6.98838,114,0.0740501,2058.40020821,6.98921991649,6.98927351887,0.951236,1464.99068039,454.122974107,52.6826,-7.08804,41.5725
115,1440.79523356,0.144941570626,135.670380929,7.14288,0.0,1440.79523356,1440.79523356,288.153452851,7.14288,115,0.10091,2008.15294434,7.14328124751,7.14336413899,0.933959,1133.48845032,526.484384843,52.8865,-7.24542,41.8267
116,451.292368743,0.140104954762,131.100763092,7.10844,0.0,451.292368743,451.292368743,306.04028152,7.10844,116,0.0761357,1750.79874207,7.10982715804,7.10991544618,0.913905,764.853473583,459.749964036,53.1122,-7.20847,42.0438
117,987.673589752,0.142103084108,201.264486145,7.23236,0.0,987.673589752,987.673589752,616.868923199,7.23236,117,0.080631,2907.75949872,7.23319627942,7.23325830033,0.932772,1613.40370869,739.00226536,53.3182,-7.33089,42.2236
