AverageDiscountedReturn,QFunRegParamNorm,AveragePolicySurr,MinReturn,MaxReturn,Epoch,StdReturn,AverageAbsQ,AverageAbsQYDiff,AverageAction,AverageEsReturn,AverageY,PolicyRegParamNorm,StdEsReturn,AverageReturn,MaxEsReturn,AverageQLoss,MinEsReturn,AverageQ,Iteration,AverageAbsY
97.6986174938,103.532,-90.9918,212.0,1000.0,115,226.075756108,83.3056,2.29778496738,0.226005,18.3333333333,83.1969321432,54.6099,14.0861031039,513.05,59.0,36.651,2.0,83.1842,115,83.233839694
94.1197665351,104.057,-91.8682,132.0,1000.0,116,170.091980432,84.348,2.00534137209,0.266629,18.1206896552,84.2358923418,54.9606,17.5018004849,348.551724138,90.0,31.6829,3.0,84.2387,116,84.2613201259
80.7004140002,104.512,-92.7279,124.0,636.0,117,109.753682485,84.8706,2.1465190487,0.26038,17.2105263158,84.7593179889,55.1962,13.8104166662,196.176470588,60.0,35.44,3.0,84.75,117,84.7946256764
97.8813711646,104.787,-93.3522,229.0,1000.0,118,241.292020869,85.789,2.21034735498,0.229885,19.0185185185,85.6549114887,55.4958,17.9788875575,532.052631579,97.0,37.5345,3.0,85.6516,118,85.6828353001
95.2714125042,105.234,-94.3738,202.0,1000.0,119,253.023882403,86.4582,2.22304832555,0.228839,15.6984126984,86.3375912281,55.6798,14.0933789708,439.043478261,71.0,36.0017,3.0,86.3331,119,86.37826819
98.7159653051,105.898,-95.122,312.0,1000.0,120,243.872234309,87.3156,2.2845935798,0.219911,15.140625,87.1828734954,55.8549,12.6192650186,577.333333333,61.0,38.6298,3.0,87.1722,120,87.2205432236
89.774908023,106.4,-96.1248,131.0,453.0,121,68.5490831414,88.1642,2.17294411252,0.225838,17.4333333333,88.0282514199,55.9889,15.2341356463,245.268292683,63.0,34.5627,3.0,88.0176,121,88.0700583272
99.9956828753,106.849,-96.7077,1000.0,1000.0,122,0.0,88.5527,2.27443012019,0.35069,13.9577464789,88.4182211099,56.1643,12.7957262008,1000.0,68.0,38.0961,3.0,88.4222,122,88.4557780456
96.1400027779,107.46,-97.7747,133.0,594.0,123,99.1577424487,89.2735,2.37895762453,0.229017,15.4615384615,89.1407728068,56.3029,12.4716008757,372.037037037,54.0,41.5736,3.0,89.1346,123,89.1803966123
99.5867447775,108.032,-98.801,359.0,1000.0,124,235.72963653,90.557,2.2435590802,0.20282,14.5294117647,90.4311909334,56.5961,11.1242588494,844.0,39.0,38.8235,3.0,90.4284,124,90.4684808196
99.3256016695,108.551,-99.3916,308.0,1000.0,125,183.44068368,90.8783,2.43344030482,0.25848,17.6727272727,90.7364018037,56.7403,16.6351812794,614.529411765,94.0,45.8928,3.0,90.7181,125,90.7850947526
99.9956828753,109.0,-100.276,1000.0,1000.0,126,0.0,92.1985,2.33785665095,0.329033,18.1578947368,92.0608953043,56.8734,14.1567533617,1000.0,63.0,40.7424,3.0,92.0563,126,92.1039413945
99.9956828753,109.519,-101.235,1000.0,1000.0,127,0.0,92.8933,2.29333514638,0.305837,17.5087719298,92.7685721958,57.0516,12.9318358787,1000.0,64.0,41.0718,3.0,92.7678,127,92.8048156131
