AverageEsReturn,AverageAbsY,AverageReturn,AverageAbsQYDiff,Epoch,MinEsReturn,AverageAbsQ,AverageQ,MinReturn,AverageQLoss,QFunRegParamNorm,AveragePolicySurr,MaxEsReturn,StdEsReturn,PolicyRegParamNorm,StdReturn,MaxReturn,AverageDiscountedReturn,AverageAction,AverageY,Iteration
2946.63253966,103.028268737,2442.48237897,1.87302390956,101,2946.63253966,103.013,103.013,394.001979158,16.8771,50.8877,-104.633,2946.63253966,0.0,43.2947,1284.31821837,4249.34718211,318.535419805,0.938546,103.028043153,101
1200.0197678,104.335560263,3573.29868574,2.04769207912,102,1200.0197678,104.317,104.317,3485.2204853,23.2084,51.2571,-105.941,1200.0197678,0.0,43.5283,67.4817579355,3727.66352424,293.672864671,0.976555,104.335128287,102
2693.57847552,106.832056636,2436.34263545,1.95743684793,103,2693.57847552,106.811,106.811,785.167913076,20.1306,51.5817,-108.49,2693.57847552,0.0,43.7829,788.175251447,3555.32839181,252.866626098,0.922555,106.831722429,103
2458.74264205,109.085545638,3385.94361299,2.0248927388,104,2458.74264205,109.064,109.064,1403.41117416,23.1562,51.9637,-110.764,2458.74264205,0.0,43.9474,993.70098885,4341.15727004,334.029019393,0.944946,109.085178535,104
2559.6438224,111.544673593,3168.48730749,2.03109067055,105,2559.6438224,111.525,111.525,1593.7409406,21.0507,52.3006,-113.24,2559.6438224,0.0,44.1639,696.186061706,3883.66810417,300.010435885,0.953088,111.54396902,105
2369.27797326,113.375213178,3715.37473725,2.11049442625,106,2369.27797326,113.354,113.354,1791.62780346,24.8654,52.6349,-115.051,2369.27797326,0.0,44.3642,944.673764902,4391.00946619,335.744314017,0.955942,113.374857064,106
2745.00423814,115.389292481,1619.75585272,2.14084289709,107,2745.00423814,115.37,115.37,14.7682706942,25.2165,52.9128,-117.001,2745.00423814,0.0,44.572,1449.73782329,4366.25733329,252.709516614,0.934402,115.389122769,107
2487.20693268,117.816831447,2994.79676283,2.11576456945,108,2487.20693268,117.803,117.803,2558.74200257,23.8349,53.2298,-119.46,2487.20693268,0.0,44.7976,380.102408992,3813.46572877,247.294498143,0.953408,117.816333191,108
2630.18382101,119.025843269,3745.07640442,1.99911514109,109,2630.18382101,119.002,119.002,3144.81721025,17.0962,53.4956,-120.74,2630.18382101,0.0,45.043,311.733861779,4088.3440391,301.889472072,0.965386,119.025435163,109
2848.49919811,122.087189023,3955.30066476,2.21345462127,110,2848.49919811,122.064,122.064,3223.25452674,28.1337,53.8007,-123.819,2848.49919811,0.0,45.2007,343.534647076,4349.26451222,339.241502428,0.963103,122.086832602,110
2684.20533924,124.12849119,3936.25290644,2.06238223214,111,2684.20533924,124.11,124.11,3829.14030078,21.8866,54.0303,-125.862,2684.20533924,0.0,45.3708,76.8840106585,4094.20626187,309.110750278,0.968636,124.127924193,111
2777.05829934,125.800030227,3209.00967461,1.98387838465,112,2777.05829934,125.783,125.783,635.369545703,15.8607,54.285,-127.458,2777.05829934,0.0,45.6029,1200.46007787,4353.60116957,294.326814133,0.957285,125.799519642,112
2443.24803011,128.019151246,3736.36966649,2.25585455714,113,2443.24803011,127.996,127.996,2975.85289624,29.512,54.5895,-129.76,2443.24803011,0.0,45.7844,315.510782238,4135.42680849,321.087762909,0.96872,128.018910044,113
2692.15644846,129.825247792,3168.91935496,2.2814263498,114,2692.15644846,129.799,129.799,1397.991472,30.3222,54.8047,-131.449,2692.15644846,0.0,45.9369,701.522723341,3996.17122283,286.085797156,0.964902,129.824872174,114
2688.55507702,132.430736026,3150.65091875,2.31960863058,115,2688.55507702,132.411,132.411,467.083960178,33.9032,55.086,-134.088,2688.55507702,0.0,46.1381,940.320412547,3996.4748634,253.578466975,0.962879,132.430466106,115
2560.16068038,134.156730918,3685.67281965,2.18362585648,116,2560.16068038,134.134,134.134,3404.95687408,29.4739,55.331,-135.85,2560.16068038,0.0,46.3329,173.176437068,3969.01581173,296.667627662,0.973984,134.156379735,116
2780.54297491,136.015366611,3543.55177249,2.16421200849,117,2780.54297491,136.002,136.002,1152.85132684,25.7096,55.6071,-137.701,2780.54297491,0.0,46.5918,806.285595604,4018.65358293,310.835192951,0.96873,136.014831768,117
