Epoch,AverageQ,AverageForwardProgress,MinForwardProgress,MaxEsReturn,AverageAction,MaxReturn,StdForwardProgress,AverageAbsY,StdReturn,AverageQLoss,MaxForwardProgress,PolicyRegParamNorm,AverageAbsQYDiff,AverageY,AverageEsReturn,StdEsReturn,QFunRegParamNorm,AverageAbsQ,MinReturn,AverageDiscountedReturn,MinEsReturn,AveragePolicySurr,AverageReturn
72,0.297497,0.326782165956,0.188260278211,78.0163461784,0.974595,74.8071070169,0.0436215478239,0.297678396764,5.95023515209,0.000305945,0.433933889861,25.3954,0.00968781648082,0.297511630213,59.152529447,19.6888495289,42.6237,0.297777,39.9524503189,34.6952966563,3.31065730555,-0.30171,57.8520560176
73,0.299478,0.315274877679,0.169567974849,78.0728933188,0.973182,77.2050081807,0.0588664105518,0.299678271192,7.97816281203,0.000315844,0.463718779607,25.4686,0.0100028503363,0.299485927288,55.7565185234,8.90943224931,42.9684,0.299783,36.6784427914,34.0451733328,41.0901547961,-0.30412,55.5499782635
74,0.302034,0.270543722157,-0.0426560404338,91.4845807242,0.982759,80.1626141829,0.111643921431,0.302226463699,14.2515764127,0.000312761,0.476372971152,25.548,0.00996456035877,0.302050710735,54.0939918952,23.3766841584,43.2954,0.302322,13.6312033516,29.3763405957,0.576763982219,-0.306489,53.859649587
75,0.30518,0.242080621096,-0.0593070902042,66.958761698,0.97571,77.6878353157,0.105774196471,0.30541923759,13.4700127642,0.000349076,0.459967681266,25.6306,0.0103855468099,0.305197057627,43.3085221163,14.7824043947,43.6627,0.305515,11.0925183121,27.4181741887,24.5276646237,-0.310359,50.1995975364
76,0.309402,0.145378203087,-0.118124671451,79.2425286423,0.983999,61.9288848364,0.102767223887,0.309607855462,13.2168513099,0.000318242,0.331603801897,25.7035,0.00999722794358,0.309402704127,41.1530989696,21.8403161025,44.008,0.30973,2.99142049164,19.1449897209,7.98177359103,-0.314674,38.0467427519
77,0.312276,0.202094016188,-0.168979068405,52.0177600011,0.964636,76.8616013216,0.110989258323,0.312526086902,13.9986753081,0.000369454,0.456594761817,25.7865,0.010496865353,0.312309558884,29.1332392864,13.8364293425,44.3329,0.312612,-1.95692198461,24.4232882725,2.35777378924,-0.317161,44.9986915207
78,0.314274,0.156717358499,-0.106661641658,66.897907738,0.969288,63.205759922,0.0974035186109,0.314541651844,12.2138190835,0.000349426,0.344074105632,25.8667,0.0103786922047,0.314272672312,38.0029073844,18.5391846775,44.696,0.314625,6.09079306356,20.8157359456,0.814443270121,-0.318426,39.4191337681
79,0.316149,0.108147771157,-0.100057426633,55.0816936918,0.971983,60.1530186957,0.0882267942053,0.316329467927,11.0430653682,0.000355228,0.320620307785,25.9658,0.0103611474328,0.316165554241,34.5305420366,15.6574924854,44.9929,0.316434,6.67335913176,16.7534340138,3.59497318518,-0.320538,33.2101880094
80,0.318618,0.131696429963,-0.156007271435,55.3267118554,0.98885,61.2356018055,0.0927323107717,0.318887455719,11.6091224711,0.000347259,0.33253896613,26.0352,0.010273580919,0.318622621533,36.9256063144,12.5686665358,45.3102,0.318987,-0.777400666039,19.7079894418,6.38083439189,-0.323059,35.4966173093
81,0.321378,0.143405950389,-0.1360544608,45.3547438092,0.991684,61.202504497,0.0796055060273,0.321572543001,10.0603917713,0.000360734,0.351651401738,26.1024,0.0103921454171,0.321390601711,32.2280807307,11.450552388,45.6163,0.321662,1.91064936605,20.4682800058,0.379228262706,-0.326242,36.9658180376
82,0.324295,0.404145291195,0.165002622667,68.1959726574,0.979145,88.2266968342,0.0597109368844,0.324497644102,7.58891306099,0.000345417,0.545313592571,26.1851,0.0101163858807,0.324312164793,38.1417388355,17.4106599127,45.9034,0.324586,40.7721235997,38.9322911238,4.94076307844,-0.328943,70.0140995724
83,0.328172,0.357928953321,0.204058333265,79.8148349283,0.978337,79.5639164572,0.0585614109603,0.328374068463,8.14211911583,0.000369366,0.481256145071,26.3053,0.0102506017763,0.328183896475,62.0417533723,21.6942718035,46.2038,0.328449,40.5905188451,36.0582395458,-0.041868272894,-0.333386,62.5666938373
84,0.331316,0.353242033356,0.193534788302,78.049687965,0.974769,83.6338396229,0.0671942360621,0.331499589956,9.13354887884,0.000360907,0.504257359663,26.4101,0.0102967871123,0.331317018968,61.5653840532,13.9328038906,46.5248,0.331623,41.4733493783,35.8957715703,26.4482974703,-0.336601,62.424424105
85,0.333908,0.365223121869,0.239866767194,74.2507977842,0.979448,83.346735223,0.0596178453273,0.334118518962,8.21669227599,0.000346118,0.513924309596,26.5147,0.0103796426175,0.333928049377,60.6817927951,18.9814944523,46.7988,0.334205,45.5436178172,36.8300794605,1.42937471483,-0.339144,63.342493664
86,0.338224,0.239221272793,0.0950638603856,74.9552828589,0.98143,64.1915975981,0.0529839186513,0.338420380513,6.83680656028,0.000378929,0.366630475926,26.6236,0.0105794806845,0.338243362666,58.643714004,17.6075522166,47.0869,0.338496,27.4018598266,28.0761438782,3.20921050253,-0.343461,45.4843463968
