AverageAbsQ,AverageQLoss,StdReturn,StdEsReturn,AverageAbsQYDiff,AverageQ,AverageY,MinReturn,AverageAction,AverageEsReturn,MaxReturn,AverageReturn,MinEsReturn,Epoch,PolicyRegParamNorm,AverageDiscountedReturn,AveragePolicySurr,AverageAbsY,MaxEsReturn,QFunRegParamNorm,Iteration
64.6758,4.03112,0.108859488845,2.54592213267,0.688795713823,64.6758,64.6819589979,92.5004202292,0.992898,93.8732202206,92.9014114354,92.7791870933,89.0413669945,94,41.1412,43.486952666,-65.9241,64.6819934386,99.4844208432,139.275,94
65.5122,4.21872,0.161782888541,1.79327088553,0.711508303664,65.5122,65.5186492439,92.4003812654,0.993453,93.7074128093,93.0058919576,92.7737078665,91.2120264743,95,41.1894,43.4796994172,-66.7126,65.518691078,97.3650247683,139.378,95
66.1283,3.86625,0.154893843613,2.33604637847,0.665693725873,66.1283,66.1346931106,92.4005265024,0.993937,93.6043875046,92.9048476574,92.6894477556,89.9922319414,96,41.2711,43.041869308,-67.2528,66.1347270521,99.5129034215,139.467,96
66.8362,4.38628,0.128264985149,1.57632600237,0.666681053311,66.8362,66.8401996443,92.4000349733,0.994409,94.1007277737,92.8995733884,92.6611158354,90.1561355311,97,41.3445,42.9045832999,-67.8893,66.8402307915,97.8651947775,139.597,97
67.5405,3.91723,0.141197355462,1.83892669444,0.662748795382,67.5405,67.5449780211,92.3007399414,0.993902,93.8166659905,92.8031862359,92.5657650683,90.3836164746,98,41.4135,42.3808113084,-68.5128,67.5450172745,98.3663492079,139.736,98
67.9192,4.93522,0.159270416611,0.658219580958,0.675622832702,67.9192,67.9247778587,92.3316775609,0.994098,93.5577350253,92.9035866435,92.620847679,92.1441001886,99,41.4719,42.6810921178,-68.8256,67.9248230909,94.4833544347,139.808,99
68.3765,3.68783,0.178904129302,2.42168997962,0.608446801597,68.3765,68.3803589391,92.1076545313,0.993762,93.3301650029,92.745779088,92.4707480508,90.2633287787,100,41.5343,41.8783507006,-69.2101,68.3803903835,99.1,139.913,100
68.6881,4.83655,0.282260740062,0.826756972458,0.653586268984,68.6881,68.6938757962,92.201335348,0.991768,93.6625768102,93.1065051531,92.7296871433,91.2663269742,101,41.6087,43.1981196013,-69.44,68.6939102388,94.5627057182,139.939,101
68.991,5.13344,0.256649139075,1.44847699533,0.65183709395,68.991,68.9968173004,92.0000893421,0.993938,93.4384283673,92.809165105,92.4392924071,90.97863304,102,41.7129,41.7272849532,-69.6998,68.9968699816,94.970222332,139.929,102
69.1894,3.69983,0.274922903009,1.75063798157,0.576207970746,69.1894,69.1929625685,92.0002170252,0.993626,93.2418135915,93.0145719919,92.4992431267,89.6363983905,103,41.8008,42.0331388456,-69.8439,69.1929892912,95.145871426,139.943,103
