Epoch,MaxEsReturn,AverageAbsQYDiff,MaxReturn,AverageReturn,StdForwardProgress,AverageDiscountedReturn,MinEsReturn,AverageAction,StdReturn,MinReturn,QFunRegParamNorm,AveragePolicySurr,PolicyRegParamNorm,MaxForwardProgress,AverageAbsY,AverageQLoss,MinForwardProgress,AverageForwardProgress,StdEsReturn,AverageEsReturn,AverageQ,AverageY,AverageAbsQ
61,118.126442982,0.245075849246,178.948608213,100.136675269,0.0875476282323,66.1513405247,42.6816876618,0.785679,19.2261782565,59.8152818172,44.421,-3.96829,19.2466,0.662786997533,3.70569782795,0.17306,0.082564244793,0.430285054126,21.9584533245,86.9092251839,3.70309,3.70569782795,3.70479
62,124.211455589,0.248858909533,173.477553148,101.887851998,0.0852934711342,67.0638310496,58.949944362,0.810447,16.9890476606,63.4344338872,44.8733,-4.05603,19.335,0.585224266462,3.78473472107,0.183948,0.198537362683,0.452794246688,15.0725501545,102.658072612,3.78214,3.78473472107,3.78402
63,134.82451977,0.248043366414,197.805174727,113.54452913,0.0763375407341,70.4057359386,13.4742180039,0.798403,24.212207921,50.3285401791,45.2261,-4.14015,19.4305,0.686958649255,3.86692674081,0.186107,0.254365465764,0.454321977753,25.6580656893,93.9510957604,3.8647,3.86692571682,3.86662
64,175.079099933,0.255136969242,263.654733642,128.791431477,0.113971742036,72.6868119405,4.69711468669,0.747436,45.9970660713,40.9326402343,45.6576,-4.21083,19.5407,0.55938585428,3.92904963326,0.196574,0.0778753839094,0.404229556978,46.0383177282,114.035929738,3.92698,3.92904912562,3.92845
65,236.120773344,0.267078820887,175.202081124,107.815981367,0.121877189492,68.8987188052,67.2428101803,0.783286,23.0719911578,59.6137226549,46.0478,-4.28663,19.6194,0.628676072448,4.00515724439,0.213517,0.120613600191,0.46964897477,46.0162216417,112.790515329,4.00172,4.00515428372,4.0033
66,179.055636469,0.266019541824,280.555718663,140.690052034,0.160436042599,76.0429240004,29.4767886369,0.73216,50.2946282923,69.6433904058,46.4411,-4.37871,19.7029,0.702333437592,4.09766858658,0.218295,0.00512607223549,0.444338425199,46.0465360611,119.771769173,4.09569,4.09766858658,4.09775
67,219.383379938,0.26836024512,262.955091547,118.745921777,0.121991528972,72.1906076487,37.0646354076,0.787913,33.144064437,56.5962179004,46.8466,-4.42058,19.7872,0.666125624996,4.15895811141,0.223942,0.0533986023426,0.498860192803,44.6609374704,126.418638144,4.15631,4.15895811141,4.1579
68,207.939676131,0.266713001142,270.831276598,121.721002923,0.115818290993,72.7988565782,36.1839997374,0.814948,34.2223861047,56.3780370314,47.2458,-4.45766,19.8859,0.694761877834,4.20072145417,0.219691,0.142491493814,0.488586714351,39.1342383677,110.952001009,4.1984,4.20071669775,4.20044
69,184.533196297,0.267996404774,269.843919349,119.197722579,0.0995677606325,72.645210891,33.0433190468,0.78345,37.7878094871,57.8683256437,47.6254,-4.54439,19.9724,0.68653523233,4.25740644868,0.218221,0.0904177786156,0.532845870635,45.5955913724,120.374562373,4.25577,4.25740644868,4.25807
70,179.428308975,0.277659296256,257.861253735,133.336536284,0.103365452334,76.7037534725,69.6584628464,0.80217,34.1424540731,67.9965150631,47.9997,-4.61146,20.033,0.694451372315,4.33613615901,0.244887,0.0919146589011,0.544357305402,34.5828677446,126.836729413,4.33155,4.33613268105,4.33345
71,217.817722434,0.278071075364,270.623345871,131.927517639,0.123046221708,75.668032914,26.9010976978,0.783682,42.2271896204,79.3142561221,48.3606,-4.66786,20.1301,0.702703124997,4.39878129932,0.246744,0.0703289224569,0.52534914236,52.5772376454,115.939514873,4.39569,4.39877805223,4.39804
72,124.006492225,0.279802936343,206.949174833,126.299692525,0.108924725222,75.3836326813,81.4823393352,0.79174,31.0814594218,64.5630655312,48.7347,-4.74282,20.1977,0.724812989154,4.4616969605,0.247414,0.175406534151,0.538886612996,12.6994154506,103.944049199,4.45722,4.46169416908,4.45917
