AverageReturn,Iteration,QFunRegParamNorm,StdReturn,MinReturn,AverageAbsQ,AverageDiscountedReturn,AverageAbsQYDiff,AverageQ,StdEsReturn,AverageY,AveragePolicySurr,MinEsReturn,MaxEsReturn,AverageAction,AverageEsReturn,PolicyRegParamNorm,MaxReturn,AverageQLoss,Epoch,AverageAbsY
38.8330496854,85,53.8859,0.934163723071,36.6996790105,2.23371,34.5078203623,0.0385755575168,2.23316,8.0314278028,2.23340149745,-2.24618,12.9521876026,67.8977170162,1.0,40.979672097,24.616,40.7708644046,0.00896838,85,2.23365446529
38.7404874441,86,54.0149,0.920904855643,36.649875993,2.23721,34.4327281479,0.036577270709,2.23654,7.50231206149,2.2365993957,-2.25001,19.0158431233,75.7430252256,1.0,42.0238632981,24.616,40.5916839932,0.00812353,86,2.23689804793
38.7541147286,87,54.244,0.947054089457,36.5525197243,2.23313,34.442981971,0.0398448467461,2.2325,11.4811574757,2.23262255859,-2.2475,9.69325598768,96.2892010308,1.0,42.7414295262,24.616,40.725684278,0.00981611,87,2.23280364341
38.7711593113,88,54.4871,1.00662148154,36.6152269866,2.23637,34.4576806773,0.0367412944798,2.23583,7.26834072307,2.23599429371,-2.25342,23.3137845288,73.9285182219,1.0,42.080437096,24.616,41.8160348836,0.00876806,88,2.23620503051
38.7619837018,89,54.6692,0.871866090447,36.7327280394,2.2385,34.4518407645,0.0366964929391,2.23806,3.68969911344,2.23813772749,-2.25446,35.2045335054,55.6550350278,1.0,41.0685238274,24.616,40.6675610523,0.00792073,89,2.23829161492
38.8102256751,90,54.8798,0.996036023839,36.6800326374,2.24292,34.4882117075,0.0375705069081,2.24249,8.32143349457,2.24251561342,-2.25507,3.03929141745,69.6978038883,1.0,41.417583943,24.616,41.7872630554,0.00788767,90,2.24268736951
38.8599165483,91,55.1038,0.875739936551,36.6881481416,2.2508,34.5290050932,0.036128316652,2.2502,4.35367086356,2.25037680887,-2.26132,21.0645825131,54.5910085537,1.0,40.9226179637,24.616,40.6646123962,0.00739882,91,2.2505986274
38.7952961551,92,55.3219,0.918009770147,36.6251340889,2.24437,34.4764042073,0.0408371643252,2.24386,8.9547606518,2.24393683822,-2.25722,3.05684206152,74.0637875731,1.0,42.1764942375,24.616,40.6611875925,0.0118618,92,2.24414133496
38.7793577644,93,55.5399,0.949676439005,36.7044709919,2.23783,34.4661504963,0.0351237625057,2.23714,5.12922304582,2.23723717879,-2.25037,36.9923720054,62.2222085397,1.0,41.5763992708,24.616,41.9322102851,0.00763891,93,2.2375109248
38.7908742322,94,55.7443,0.883094299052,36.6350336298,2.25165,34.4740680636,0.0375243712238,2.25111,4.42353584629,2.2511821138,-2.26504,20.554872388,52.0396963146,1.0,40.8824243641,24.616,40.635652781,0.0101029,94,2.25138964687
38.8088090034,95,55.9079,0.910287880054,36.6808144042,2.24338,34.4891143408,0.0367953863729,2.24281,7.3266922357,2.24293486228,-2.25266,16.4507731364,63.9093728118,1.0,41.4107625757,24.616,40.6428872894,0.00847678,95,2.24316094548
38.7638847585,96,56.1173,0.948025132267,36.746392893,2.24031,34.4520166752,0.036728496324,2.23975,6.99779385192,2.23974777676,-2.25115,36.691041855,76.0945814348,1.0,41.9016750595,24.616,40.7195840172,0.00951874,96,2.23999432635
38.778382416,97,56.3326,0.926546045905,36.6614695896,2.23877,34.4624533066,0.034923563134,2.23831,7.91213649737,2.2384399703,-2.24697,17.297003609,81.2739153923,1.0,41.7671825486,24.616,40.758771466,0.00764807,97,2.23863243788
38.8248933406,98,56.5104,0.939319891262,36.5682826324,2.23335,34.5008832988,0.0383819362861,2.23287,7.79125536919,2.23294534746,-2.24194,30.3506515015,81.4745220392,1.0,42.6060996042,24.616,40.7601175777,0.0100656,98,2.23310766262
38.7394206515,99,56.7316,0.917655902877,36.5337590744,2.22961,34.4331294938,0.0380766242627,2.22917,9.33834962165,2.22926883462,-2.24112,8.58403647456,70.0313248261,1.0,41.3297152026,24.616,40.7258195925,0.0103534,99,2.22944029511
38.7959542351,100,56.9146,0.937596131881,36.7507246266,2.22857,34.4781914902,0.0345446117007,2.22797,4.03677596026,2.22799503691,-2.23778,36.2239671719,52.6656525177,1.0,41.8157456301,24.616,40.7978577186,0.00797388,100,2.2282305602
38.7511674509,101,57.1255,0.934885648218,36.6955854179,2.24854,34.4427347945,0.0346945145243,2.24804,8.19794158397,2.24827366901,-2.26061,5.19910735624,69.0279650199,1.0,41.5017122431,24.616,40.801072684,0.00726108,101,2.24854664012
38.7207055105,102,57.3075,0.882882975351,36.7330561166,2.23517,34.4169765096,0.0376562253762,2.23474,4.70789338006,2.23471777249,-2.24679,28.4130426197,56.5461329957,1.0,41.2831537831,24.616,40.6748135656,0.0103395,102,2.23490754909
38.8306433849,103,57.4555,0.924221949295,36.6048576996,2.24645,34.5060383648,0.0335986388231,2.2459,4.44597434563,2.24603273421,-2.25604,27.1854069395,62.3904484496,1.0,41.1115816095,24.616,40.7465693221,0.00652748,103,2.24634091992
