AverageQ,MaxEsReturn,AverageEsReturn,AverageY,MaxReturn,AverageReturn,MinReturn,AverageDiscountedReturn,StdEsReturn,QFunRegParamNorm,AverageAbsQYDiff,AverageAbsY,AverageAction,MinEsReturn,AverageQLoss,Iteration,PolicyRegParamNorm,AveragePolicySurr,AverageAbsQ,Epoch,StdReturn
516.232,3869.32860644,3869.32860644,516.243808281,5491.18930819,4427.7565314,400.63562761,414.399752482,0.0,263.933,4.14220362879,516.261498513,0.99971,3869.32860644,328.353,1826,180.551,-518.371,516.251,1826,1826.59057455
516.323,179.30139468,179.30139468,516.327062185,5694.17824791,5350.4164833,5045.42528246,416.659379735,0.0,263.969,3.90138000086,516.341651362,0.999792,179.30139468,274.514,1827,180.615,-518.38,516.339,1827,195.96397456
517.688,3810.22117203,3810.22117203,517.685620948,5391.37654679,5256.4559638,4950.30076512,412.578784682,0.0,264.018,4.0209542482,517.699084369,0.999664,3810.22117203,317.955,1828,180.652,-519.861,517.7,1828,119.610436062
517.099,3718.5381493,3718.5381493,517.105898211,5623.85326289,5328.3546255,4273.31326047,413.760905308,0.0,264.078,3.9465500099,517.116991612,0.999605,3718.5381493,284.408,1829,180.692,-519.144,517.111,1829,368.262275007
516.856,3386.82882905,3386.82882905,516.855635648,5428.91257349,4019.1066462,1376.24925905,388.186899616,0.0,264.19,4.03610970756,516.86524724,0.999687,3386.82882905,299.245,1830,180.68,-518.869,516.866,1830,1512.99384139
515.792,3178.06675069,3178.06675069,515.805504149,5437.10750064,3947.4492065,-12.1961357515,363.377164487,0.0,264.268,4.35507131618,515.82362128,0.999666,3178.06675069,354.389,1831,180.739,-517.834,515.811,1831,1931.25502034
515.934,4124.30528254,4124.30528254,515.944472613,5222.44500427,4887.21608814,4465.03071297,372.733797166,0.0,264.389,4.36174769771,515.962175082,0.999676,4124.30528254,364.004,1832,180.807,-518.018,515.952,1832,200.622850812
515.974,3256.21876255,3256.21876255,515.97502523,5925.73626962,5492.67759906,5299.58488959,401.122243164,0.0,264.421,3.8915594064,515.993827931,0.99957,3256.21876255,241.721,1833,180.81,-518.106,515.993,1833,173.967977238
516.558,2567.85802252,2567.85802252,516.575007415,5062.87686428,4332.40594968,2088.71344834,372.933074675,0.0,264.484,3.84201398101,516.596063653,0.999743,2567.85802252,243.202,1834,180.913,-518.629,516.58,1834,975.674101812
516.32,4186.01511719,4186.01511719,516.319140843,5813.99849335,5507.14402838,4885.57477268,430.807547059,0.0,264.588,4.05156004565,516.321415037,0.999647,4186.01511719,282.667,1835,180.924,-518.418,516.324,1835,260.357676213
516.428,100.711764443,100.711764443,516.441722218,5579.67745082,5430.88635586,5031.2142479,431.11725263,0.0,264.697,4.2131928759,516.444051161,0.999586,100.711764443,342.744,1836,180.955,-518.647,516.429,1836,158.95680187
516.246,3926.23508722,3926.23508722,516.247722369,5629.63990898,5409.74127815,5277.48621709,429.001881724,0.0,264.763,3.97451340648,516.249473838,0.999682,3926.23508722,296.57,1837,180.968,-518.408,516.249,1837,122.691790146
516.198,3825.99536695,3825.99536695,516.206422684,5912.44715094,5772.69975157,5558.52654701,460.545007054,0.0,264.843,4.04460912819,516.209086549,0.999675,3825.99536695,305.956,1838,180.999,-518.362,516.2,1838,130.170012697
516.396,3604.17306001,3604.17306001,516.399654402,5901.16734893,5310.15311646,3074.37212478,434.640470413,0.0,264.918,3.96232862027,516.401242441,0.999665,3604.17306001,265.885,1839,181.067,-518.531,516.399,1839,764.781603407
517.249,3789.16436046,3789.16436046,517.247191619,5587.11582367,4972.58730994,759.445164467,421.897303662,0.0,265.031,4.14598935498,517.250598749,0.99964,3789.16436046,313.649,1840,181.076,-519.408,517.253,1840,1406.64547633
516.692,4037.52135363,4037.52135363,516.708423894,5793.66885191,5087.93570733,954.90187906,418.561630741,0.0,265.117,4.16377703807,516.713852379,0.999646,4037.52135363,368.964,1841,181.186,-518.893,516.698,1841,1386.03090726
