Iteration,AverageAbsQ,Epoch,AverageEsReturn,AverageAction,AveragePolicySurr,AverageQ,StdEsReturn,PolicyRegParamNorm,MinEsReturn,AverageReturn,MinReturn,AverageY,AverageAbsY,AverageAbsQYDiff,StdReturn,QFunRegParamNorm,AverageQLoss,MaxReturn,AverageDiscountedReturn,MaxEsReturn
77,139.433,77,209.244015463,0.527037,-144.004,139.294,172.584290429,40.5493,10.2453296842,414.965372875,402.293900463,139.305876096,139.337304816,3.49134548171,5.96742295827,64.285,57.2782,426.208986962,193.21025197,447.327096385
78,141.283,78,212.341099684,0.579282,-145.88,141.132,148.103565311,40.7394,7.89642284371,551.901351575,534.810231506,141.138652664,141.166455159,3.58908953062,10.2700940411,64.8461,59.7861,588.217822902,222.659411101,431.347018674
79,143.863,79,201.024483977,0.562639,-148.569,143.717,150.238831862,40.9551,9.03002826229,519.118959166,500.719885413,143.73145193,143.766760653,3.48553508607,11.2556451617,65.3389,54.2082,540.482336951,215.294571294,458.481481731
80,145.379,80,188.174670819,0.552426,-150.158,145.233,99.5212704023,41.1278,6.6972109785,314.96129104,311.112128652,145.250373306,145.290311109,3.62612244672,1.12890035149,65.9275,63.1579,319.076618491,163.663353298,283.762049324
81,147.861,81,183.184660357,0.537946,-152.709,147.711,130.130337143,41.3527,8.16702701005,349.080903402,341.882774294,147.710391121,147.745217496,3.73534256722,6.31429458675,66.419,65.9359,383.371867229,173.610746247,506.413700519
82,149.808,82,198.887067812,0.525717,-154.778,149.658,104.082224744,41.5497,13.3708250686,332.754348943,323.466456477,149.681184128,149.71647221,3.82021762473,3.41174871117,66.9086,71.9305,342.726948726,168.072444199,322.423251394
83,151.429,83,153.149355945,0.561862,-156.335,151.275,113.908496501,41.7489,2.04797809105,285.069197688,277.840786689,151.279889874,151.310697059,3.75756688183,2.39517633035,67.3656,66.1607,290.997384695,154.516997689,326.872547675
84,153.71,84,219.058598181,0.602714,-158.605,153.552,91.2496198456,41.9567,18.638776019,470.550055872,453.338622064,153.568756349,153.600544073,3.78500691392,7.75475652201,67.8724,70.0815,489.542285159,204.656674173,310.705425594
85,155.932,85,205.192075706,0.595527,-160.78,155.785,130.002529593,42.1505,12.5174264809,459.738299635,251.77333812,155.793290616,155.823133618,3.734852062,79.8092520017,68.3606,64.494,537.130008356,200.618448244,409.864969886
86,158.162,86,231.684158343,0.58471,-163.053,158.015,187.530790907,42.3413,18.2932438099,529.130148102,261.792346364,158.024513822,158.05592256,3.79445753556,128.03328409,68.8684,66.0867,633.060651848,212.040957435,655.766921144
87,159.999,87,151.593821619,0.594291,-164.92,159.833,119.006329255,42.5358,7.36876485334,345.265180009,273.260777679,159.838064387,159.881559543,3.86805547641,87.9386223827,69.3278,70.476,517.605836318,168.414266959,300.261831812
88,161.918,88,252.500690439,0.634118,-166.871,161.763,92.3602208423,42.7276,23.3061396364,460.842070549,278.820327711,161.78286459,161.819112577,3.86374353027,87.2085862282,69.6984,72.6383,526.14614808,199.518449126,345.267423277
89,163.657,89,249.679498461,0.611161,-168.548,163.499,156.655249964,42.908,20.9035152094,591.20755202,504.701267496,163.509265772,163.548530718,3.91577653988,28.6062310472,70.1712,67.2064,635.222944215,224.223904015,511.193604795
90,166.436,90,158.790586929,0.575151,-171.211,166.279,132.191025198,43.1065,15.0471650367,250.485834171,244.498192599,166.288437102,166.330437266,3.99119466931,2.74085441296,70.6538,77.2753,256.003327388,141.224655756,476.051557757
91,167.697,91,196.397147913,0.606509,-172.729,167.533,167.200425317,43.2652,17.9623058069,372.663993711,281.838042921,167.542050273,167.585384707,3.91175311831,53.8577738834,71.1791,67.0466,487.152734014,176.927736336,588.924169865
92,169.835,92,162.70484339,0.68448,-174.787,169.646,113.29080301,43.3965,14.5628054067,258.287803306,182.749848896,169.660478119,169.708866687,4.14506879379,22.7251347379,71.6195,86.7567,347.06821119,145.854768502,341.717265248
93,171.122,93,181.456141525,0.474959,-176.133,170.947,166.997866282,43.5497,17.8049625214,288.53174741,275.119228196,170.95341944,170.993427465,4.04580758181,10.0444094673,72.0538,80.6792,315.610665575,152.957251574,600.628501696
94,172.991,94,223.845892523,0.688539,-177.984,172.813,186.687831253,43.6998,8.70433663305,307.234183801,270.905378812,172.833035885,172.885653058,4.12562374964,29.4859778675,72.4669,83.3475,379.969527096,162.502279733,583.076742894
95,173.996,95,174.475192792,0.503044,-179.06,173.811,80.1194036461,43.8646,32.1705426758,643.095752384,363.910131632,173.827332826,173.875797709,4.30020516679,165.391967931,72.9518,92.6698,1037.74632398,219.489792604,313.703282623
96,176.522,96,200.063070465,0.557268,-181.508,176.349,199.294328131,44.0231,12.3179722519,571.634784069,433.375426445,176.36282952,176.41675936,4.09773382676,113.712835614,73.3626,83.7406,894.463636786,216.733806891,721.921837394
97,178.278,97,189.438365342,0.587341,-183.375,178.103,95.1046426619,44.1778,16.8134805864,442.869438825,333.274551044,178.117398111,178.162458837,4.25112762378,57.0133273511,73.8673,87.3798,587.39058975,198.489222698,305.211996424
98,179.565,98,185.450282229,0.584904,-184.839,179.369,128.724507449,44.3388,9.83255936419,406.271242555,200.676848541,179.384308888,179.432064002,4.3761291419,63.1242246526,74.4022,93.3862,465.32557685,188.205377899,509.604969773
99,181.259,99,196.30072534,0.541675,-186.431,181.07,225.180603083,44.5316,11.3516118516,610.771715688,559.677923522,181.082767058,181.137753875,4.22329418668,47.0995753899,74.8688,83.4054,767.418678641,225.398287646,696.19421614
100,182.727,100,169.042440211,0.581428,-187.936,182.541,90.1922309623,44.7084,27.4929538882,360.484424352,255.248193668,182.555724716,182.615619543,4.30912323669,133.682342514,75.3258,86.699,755.821937658,171.097449289,368.536980917
101,184.754,101,222.97252288,0.518549,-190.032,184.559,135.729003138,44.8825,11.7601746688,612.053676213,313.952115996,184.575748571,184.615896201,4.5215118957,51.0324613667,75.8277,98.3686,694.733335028,225.620556301,365.490186145
102,187.201,102,191.130974314,0.493884,-192.388,187.021,159.323929385,45.0845,6.75604193942,590.487508987,266.189792223,187.038098002,187.083804279,4.49676484462,91.8230153707,76.1703,98.3549,659.963200335,222.371800441,510.086918871
103,188.217,103,163.267202408,0.510401,-193.655,188.039,133.485896623,45.2109,3.81794315045,505.218594763,232.173516646,188.059119939,188.094466211,4.4577323908,124.781886007,76.616,95.871,815.624455063,202.019570849,454.386705584
104,189.803,104,256.718124434,0.545919,-194.992,189.612,115.05271544,45.3887,82.5549776195,613.905522735,553.605880667,189.62601307,189.663761774,4.59954616579,39.5314786802,77.0256,105.85,861.200923054,222.828626244,405.493834494
