AverageQ,StdEsReturn,AverageDiscountedReturn,MinEsReturn,AverageAction,AverageEsReturn,AverageAbsQYDiff,MaxReturn,Epoch,AverageQLoss,AveragePolicySurr,MinReturn,PolicyRegParamNorm,AverageAbsQ,StdReturn,AverageY,AverageReturn,MaxEsReturn,QFunRegParamNorm,Iteration,AverageAbsY
65.907,2.41842169588,43.0827728287,90.1404057845,0.997064,94.0248868846,0.707990159805,92.7998865942,95,3.6065,-67.0578,92.5000030994,36.3441,65.907,0.071797449353,65.9164488697,92.6777664944,99.7637144423,133.32,95,65.9164688582
66.6823,2.35608462406,43.3007141118,89.4582166483,0.99403,93.8743396417,0.740419345939,92.8001790323,96,3.77853,-67.7795,92.6000007629,36.3656,66.6823,0.0565733122814,66.69057946,92.7377787906,99.5008031428,134.091,96,66.6906009336
67.2631,1.69403572184,44.3468993215,90.2511239519,0.998026,93.6885344403,0.736345011663,93.0016391473,97,4.2969,-68.3051,92.8000013232,36.4452,67.2631,0.052840825726,67.2726107093,92.9055249381,97.1542711075,134.781,97,67.2726302401
67.9489,1.27150104141,44.2374727702,92.9612671602,0.998254,94.4038812261,0.716868788719,93.0000002306,98,3.74817,-68.9307,92.7001859278,36.4599,67.9489,0.0547280267015,67.9569339175,92.8840763814,98.5284534505,135.268,98,67.9569584638
68.5324,2.94336563625,43.425015302,87.9890380549,0.994125,93.032373895,0.703491414993,92.8998848236,99,3.85341,-69.4514,92.6349609968,36.5028,68.5324,0.0681177457452,68.5414938706,92.7601767201,98.8050596139,135.712,99,68.5415212527
69.0635,0.589285193828,44.2984142911,92.2045171879,0.997648,93.805771399,0.697144786725,92.9999309809,100,3.84928,-69.934,92.8000003815,36.5376,69.0635,0.05431277902,69.070377792,92.8990098365,94.5744960783,136.109,100,69.0703974705
69.4377,1.94831615973,43.229552924,90.5181975684,0.998807,94.0188725012,0.656860732313,92.8219802732,101,3.42032,-70.2433,92.5380727968,36.5892,69.4377,0.067096996308,69.4445673406,92.6941260982,98.2470484305,136.382,101,69.4445886244
69.8221,1.77181729776,43.9569376644,91.0757375305,0.99754,94.4098729036,0.732491920025,92.9999942456,102,5.17736,-70.5798,92.7000863366,36.6492,69.8221,0.0652496822585,69.8295272028,92.8369531884,99.7016635143,136.591,102,69.829557688
70.1591,2.5373594506,42.0429946623,88.9100658902,0.998134,93.7778512566,0.631410925604,92.6866887654,103,3.42103,-70.8585,92.2000224819,36.7274,70.1591,0.0989882253858,70.1646227905,92.4742221973,98.4334867629,136.691,103,70.1646410694
70.4466,1.54862248187,42.9751761917,89.1107431828,0.997328,92.3025818387,0.616366886809,92.7999955506,104,3.5934,-71.1058,92.3000603824,36.8313,70.4466,0.103885147511,70.4508504438,92.6557036576,93.9686706255,136.792,104,70.4508732017
70.614,2.63027076641,42.3211603907,88.5721761705,0.997004,93.3802796629,0.602524367928,92.6992106372,105,3.18959,-71.2511,92.2331885448,36.8739,70.614,0.116790029449,70.6172203164,92.5343754943,98.8611270758,136.893,105,70.617241843
70.78,2.58023313774,43.5968961929,89.8854322496,0.997995,93.6354620288,0.575874646549,92.8992511418,106,3.02547,-71.37,92.5000040412,36.9178,70.78,0.0916419117837,70.7849985882,92.7674282641,99.3713821937,137.002,106,70.7850127294
70.9231,2.14730122716,43.5551288618,90.5824170776,0.998409,93.7828515053,0.585041476894,92.8989080228,107,3.31357,-71.4849,92.6000002027,36.8901,70.9231,0.0760040248412,70.9268918195,92.7571924944,98.9147696975,137.084,107,70.9269103616
70.9591,3.01770756309,44.0392128802,87.2613284269,0.999713,92.7753267281,0.551785864057,92.970646776,108,3.05646,-71.5,92.7000001192,36.8874,70.9591,0.0710906194917,70.9623499537,92.8384854199,96.3505813839,137.014,108,70.9623655958
71.0012,1.64085694777,44.8922146573,89.7113591327,0.996812,93.73562134,0.565936860428,93.1906403487,109,3.48038,-71.5148,92.8056038658,36.8858,71.0012,0.081274030382,71.0049208143,93.0118588745,96.4181945494,136.804,109,71.0049398386
71.13,2.23068240312,44.9061219617,87.2648163019,0.999145,92.6605344174,0.565402082716,93.1003053602,110,3.41836,-71.6275,92.7000048041,36.8868,71.13,0.121170592084,71.1337240224,92.9996956293,94.7399375281,136.547,110,71.133753738
71.1393,2.09004611755,44.8612548416,89.7508460973,0.996942,93.0020470868,0.575664156408,93.1995546575,111,3.84571,-71.615,92.6011278982,36.8995,71.1393,0.15296659949,71.1423502661,93.0046732571,95.87608708,136.333,111,71.1423787536
