MinEsReturn,PolicyRegParamNorm,AverageReturn,AverageDiscountedReturn,MinReturn,AveragePolicySurr,AverageAbsQYDiff,QFunRegParamNorm,AverageAbsY,MaxReturn,Epoch,Iteration,AverageAction,StdReturn,AverageQLoss,StdEsReturn,AverageEsReturn,AverageAbsQ,AverageQ,MaxEsReturn,AverageY
23.4354676924,47.4469,643.382691332,218.124534836,397.748630642,-183.363,4.11514629709,77.1037,178.491389453,1307.10660653,109,109,0.767263,221.397786308,81.8323,161.371804964,201.186774533,178.572,178.421,577.203601106,178.439436658
15.5404505774,47.6218,263.88244335,144.493062395,138.97697597,-185.258,4.27169821825,77.4916,180.249925558,544.623825573,110,110,0.764158,73.3392065464,88.278,213.099698294,224.893178475,180.346,180.192,787.556078786,180.212505933
29.1927784278,47.7469,980.617948482,236.521535145,484.828363231,-187.274,4.30164153598,77.9252,182.267021977,1911.19681901,111,111,0.794044,299.925308579,98.1081,137.460138685,222.877332932,182.34,182.219,512.36283246,182.232416083
5.51536134638,47.8822,427.070485088,192.262144075,312.716518357,-188.357,4.25015785471,78.3,183.472206896,465.837041681,112,112,0.789126,33.2812720106,93.2586,228.45365858,280.639707818,183.575,183.423,672.651359554,183.430630903
13.1685107487,48.0174,438.931658388,164.015598033,184.498702236,-189.595,4.19078532851,78.6654,184.732341229,1289.44668763,113,113,0.788563,321.736017756,88.2932,244.417218022,272.999496517,184.82,184.677,827.546210692,184.684653447
7.42515120724,48.1801,764.692408503,230.81678884,437.382124145,-191.429,4.26744129411,79.0931,186.675970898,1602.0825934,114,114,0.792395,275.46977755,87.8813,191.951617584,237.00722,186.766,186.608,546.654556193,186.635298125
111.313469059,48.3546,385.9514378,183.310478921,280.926530275,-193.2,4.49237104699,79.4636,188.239172495,515.758032709,115,115,0.762237,64.5753296839,107.755,212.972135524,353.442355697,188.339,188.188,724.096555388,188.196340041
8.74237718372,48.4666,732.167035327,227.078341309,456.183220624,-194.271,4.30783229605,79.8396,189.324344134,1557.69217027,116,116,0.782469,272.447910167,94.1861,219.953166714,281.091258899,189.418,189.27,690.74639433,189.281647491
185.163966251,48.5896,726.981938156,212.950259766,256.431412986,-196.709,4.44311778911,80.1601,191.711199808,1181.8524752,117,117,0.801672,274.676623503,100.283,241.332012745,446.972335196,191.826,191.657,863.243165459,191.669967246
12.349563689,48.7291,894.220750657,219.858832063,336.219060789,-197.949,4.52739921432,80.4814,192.992822408,1524.53599738,118,118,0.77929,319.576245521,104.084,147.867341272,218.791314596,193.072,192.937,473.738171244,192.962727156
