Iteration,AverageAbsY,AverageAbsQYDiff,AverageQLoss,MaxEsReturn,AverageY,StdReturn,MinReturn,AverageDiscountedReturn,Epoch,PolicyRegParamNorm,AverageAction,AverageEsReturn,AverageAbsQ,MinEsReturn,StdEsReturn,QFunRegParamNorm,AveragePolicySurr,AverageQ,AverageReturn,MaxReturn
88,95.4558006543,1.8360190684,19.8547,195.325830177,95.4506647888,2.18431036342,173.853517167,114.175444824,88,44.7337,0.769953,143.1409928,95.4891,10.7590571928,60.0259122592,59.4965,-98.7537,95.4395,178.031397438,182.979497787
89,96.0086108475,1.7400335934,17.2562,193.647118516,96.0047579286,2.20737176249,171.315563916,114.2076991,89,44.9257,0.776181,163.920615267,96.0569,75.5049204066,31.9998207888,59.7888,-99.1522,96.0022,177.813180104,183.703177998
90,96.7314712162,1.75032356051,17.2324,212.995058372,96.7275750804,2.61200422854,174.722950172,115.080070351,90,45.1178,0.753029,127.109321112,96.7763,7.0557887153,62.4420000124,60.0731,-99.8705,96.7228,179.536256382,184.989386137
91,97.7970398828,1.78212916353,19.5134,191.921824097,97.7910698209,7.85630895544,134.73916612,115.175579782,91,45.2955,0.720415,151.905558707,97.8405,60.1597910227,42.2072197363,60.4245,-100.902,97.7826,180.516208897,187.234844013
92,98.1837094228,1.80575810454,20.7708,220.81344565,98.1790567982,2.66641035128,194.713615305,123.956270999,92,45.4923,0.724197,152.212833572,98.225,45.9121802432,57.4106010462,60.7326,-101.457,98.1699,201.157735216,207.508544836
93,99.1280749408,1.75488199527,19.746,213.726461879,99.1229651642,4.03334064314,191.973465918,124.220888887,93,45.6931,0.668263,154.946063311,99.1732,3.87553745871,70.3464739558,61.0723,-102.343,99.1197,201.356919566,210.366752572
94,100.049423347,1.81547339621,20.1531,228.074890125,100.043422024,3.41339747676,192.637831467,123.428959393,94,45.8828,0.768071,155.282592547,100.09,12.5211848487,61.0316895725,61.4102,-103.36,100.036,199.317937781,205.877811783
95,100.724279406,1.77962956535,20.3955,242.758275239,100.718259659,4.78112175777,186.655258836,122.582990229,95,46.1227,0.721105,159.414395565,100.772,14.3030279146,77.2876095311,61.7637,-104.021,100.715,197.775872455,206.896982084
96,101.261039448,1.78230949568,21.4991,219.668651504,101.255261184,4.18914340545,195.667445501,124.646162483,96,46.3033,0.664828,149.38712397,101.307,7.09978103538,76.4245870808,62.1313,-104.471,101.249,203.975689556,211.568518755
97,101.825264994,1.74858238307,18.9295,215.851337038,101.820152119,3.09533248761,196.421416389,125.823673519,97,46.5172,0.708087,189.133139239,101.869,7.8355120285,55.0709078476,62.4836,-104.962,101.814,206.484674882,212.942480082
