AveragePolicySurr,AverageReturn,Epoch,PolicyRegParamNorm,AverageAction,AverageY,AverageQLoss,AverageAbsQ,StdEsReturn,AverageAbsY,MinReturn,MinEsReturn,AverageQ,Iteration,StdReturn,MaxEsReturn,AverageAbsQYDiff,MaxReturn,AverageEsReturn,AverageDiscountedReturn,QFunRegParamNorm
-131.601,457.568647743,76,35.551,0.546875,127.686314019,63.5864,127.765,151.162324583,127.709376239,396.105139922,29.3396534229,127.668,76,70.0749824654,398.793866364,3.42939833213,602.999958873,234.018712386,199.443551492,67.133
-134.382,531.952720744,77,35.7958,0.556872,130.433042716,59.1141,130.501,129.03748228,130.450719471,404.795818738,27.1907845392,130.407,77,47.4192000141,425.261985784,3.50099786158,630.928739741,263.247248671,206.287521578,67.8012
-136.445,398.017215371,78,35.987,0.567193,132.347621578,61.98,132.421,107.568673867,132.370294141,181.767421297,67.261835001,132.332,78,98.823286267,447.338459363,3.57751471036,488.24091727,305.677692815,183.376794182,68.3612
-138.485,407.835075553,79,36.1616,0.616599,134.4804457,63.867,134.55,124.944494228,134.502987767,390.698621437,16.2491867721,134.448,79,30.1953657087,364.914552772,3.58204959038,526.236221028,145.320872093,192.070440983,68.8049
-140.447,530.324641277,80,36.3425,0.622879,136.322442913,63.8835,136.428,133.75549636,136.350865952,403.562163008,16.9423302803,136.308,80,48.8441617809,470.483336568,3.60053775621,592.401655114,245.083471356,215.476141651,69.4678
-143.274,539.493216331,81,36.5248,0.619584,139.053553353,69.6814,139.127,160.814924281,139.075313749,455.744870675,10.2107003562,139.024,81,28.9118072329,535.417837595,3.69286365055,614.826663875,356.24970686,214.745977341,70.0812
-145.51,161.133758042,82,36.6859,0.516084,141.212126941,75.0613,141.295,137.483958428,141.238417948,137.758251727,14.0542491978,141.191,82,5.73646344636,425.452929488,3.84192462671,169.83253417,197.083097686,104.98070504,70.6615
-147.642,442.569481785,83,36.8641,0.665245,143.325058352,72.1497,143.415,181.832321416,143.360348463,239.739333891,56.2267862443,143.296,83,73.4653859909,621.474982959,3.76340619922,572.733313265,335.598025456,195.871745258,71.1815
-150.012,497.121051568,84,37.0062,0.724176,145.843704043,73.6728,145.938,148.067802337,145.876621503,401.517142219,24.1495461599,145.818,84,53.3849986327,548.325447836,3.79454983793,568.177040396,254.761072232,209.385488048,71.7273
-151.819,383.660837877,85,37.2133,0.713363,147.621761573,82.1171,147.711,174.419636262,147.649277247,370.349816117,9.62298945199,147.596,85,6.2571525918,554.995794975,3.92169882496,396.213087411,246.548688994,184.666238853,72.3885
-154.246,482.909787448,86,37.4284,0.691994,149.855937092,70.9017,149.947,146.640408625,149.887831045,203.796313537,12.8888992546,149.838,86,158.69397526,502.251072407,3.8322953649,634.973822805,220.190892022,197.410937868,72.8927
-155.859,521.774639861,87,37.6035,0.697065,151.430868082,79.8806,151.544,150.050065798,151.465011309,409.884996507,23.4174284538,151.405,87,30.0012265993,430.248114035,3.87595319127,589.478707277,205.087253424,216.841808351,73.3053
-158.613,473.538534806,88,37.8012,0.673526,154.199273055,86.0434,154.273,103.261647573,154.222054193,190.25673967,10.4419255011,154.171,88,127.570696764,360.242708973,3.94545252905,604.964613049,151.234669945,194.8271092,73.9629
-160.342,433.181250184,89,37.9847,0.683275,155.877201353,79.8708,155.977,123.290740133,155.913653854,292.851019352,20.8525579007,155.858,89,85.6936868091,365.950968744,4.05913393338,572.948413757,217.381241607,192.11925494,74.744
