MaxEsReturn,QFunRegParamNorm,StdEsReturn,AverageAbsQ,StdReturn,MaxReturn,Iteration,AverageDiscountedReturn,AverageY,AverageAction,MinEsReturn,AverageQLoss,AverageAbsY,Epoch,AverageEsReturn,AveragePolicySurr,AverageQ,AverageReturn,PolicyRegParamNorm,MinReturn,AverageAbsQYDiff
91.0,31.8698,21.365184556,1.03249,0.0,1000.0,90,99.9956828753,1.02905625249,0.483824,3.0,0.0062694,1.03030849164,90,18.8,-1.15643,1.02891,1000.0,32.9886,1000.0,0.0333511358756
174.0,32.1033,37.9569678051,1.06262,0.0,1000.0,91,99.9956828753,1.05898633772,0.32883,3.0,0.00733634,1.05999616991,91,26.3636363636,-1.18465,1.05887,1000.0,33.0663,1000.0,0.0348989314186
61.0,32.3068,14.4675637351,1.08536,0.0,1000.0,92,99.9956828753,1.0821384679,0.590676,3.0,0.00645829,1.08333376598,92,16.0327868852,-1.20619,1.08203,1000.0,33.145,1000.0,0.0329298492023
76.0,32.4875,16.6637960491,1.10103,0.0,1000.0,93,99.9956828753,1.09676922717,0.554787,3.0,0.00784729,1.0984384092,93,19.0555555556,-1.2268,1.09656,1000.0,33.2972,1000.0,0.0361362350347
85.0,32.6404,22.6144714948,1.12956,0.0,1000.0,94,99.9956828753,1.12599108705,0.0180064,3.0,0.00803042,1.12712565077,94,21.6888888889,-1.25049,1.12582,1000.0,33.3956,1000.0,0.0358454549025
109.0,32.757,22.1958646061,1.1438,0.0,1000.0,95,99.9956828753,1.14011362559,0.0198357,3.0,0.00766177,1.14121681891,95,21.3617021277,-1.26823,1.14005,1000.0,33.5538,1000.0,0.0352824405963
106.0,32.9941,17.9585335863,1.16125,0.0,1000.0,96,99.9956828753,1.15756445348,0.0169298,3.0,0.00830412,1.15839329449,96,18.25,-1.28723,1.15739,1000.0,33.6024,1000.0,0.035966562442
72.0,33.1489,16.8199605939,1.17744,0.0,1000.0,97,99.9956828753,1.17357315666,0.0479286,3.0,0.0089113,1.17457447527,97,17.3272727273,-1.30819,1.17356,1000.0,33.7269,1000.0,0.0375615040654
81.0,33.3196,22.6048200868,1.19973,0.0,1000.0,98,99.9956828753,1.19632435454,0.0234165,3.0,0.0081161,1.19713800439,98,23.7857142857,-1.32282,1.19609,1000.0,33.7788,1000.0,0.0357888952026
70.0,33.4254,17.9707811352,1.21837,0.0,1000.0,99,99.9956828753,1.21519425554,0.152672,3.0,0.00810066,1.21602712206,99,16.359375,-1.34072,1.21512,1000.0,33.8963,1000.0,0.03490275085
81.0,33.6451,23.3888862497,1.22719,0.0,1000.0,100,99.9956828753,1.2239541744,0.0180051,3.0,0.00783422,1.22484896109,100,22.2666666667,-1.35091,1.2238,1000.0,33.9134,1000.0,0.0347326918718
113.0,33.8537,22.494073679,1.23747,0.0,1000.0,101,99.9956828753,1.23340702283,0.0151283,3.0,0.00913713,1.23461166608,101,16.1290322581,-1.36508,1.23335,1000.0,33.9865,1000.0,0.0373279882002
187.0,34.0278,32.6945034456,1.25174,0.0,1000.0,102,99.9956828753,1.24779510427,0.0161433,3.0,0.00959221,1.24907327471,102,20.8333333333,-1.38419,1.24771,1000.0,34.1344,1000.0,0.037300308828
64.0,34.1802,15.0144917856,1.27261,0.0,1000.0,103,99.9956828753,1.26883888108,0.0173374,3.0,0.00840511,1.2699575599,103,15.8709677419,-1.39984,1.26861,1000.0,34.1857,1000.0,0.0362729044109
63.0,34.3681,16.3471411856,1.28306,0.0,1000.0,104,99.9956828753,1.2788345751,0.0206447,3.0,0.00975171,1.27989160489,104,15.9047619048,-1.41163,1.27878,1000.0,34.3586,1000.0,0.0382040618586
100.0,34.6036,16.6686389366,1.2932,0.0,1000.0,105,99.9956828753,1.28948980488,0.0153432,3.0,0.00934629,1.29031968735,105,12.9487179487,-1.42452,1.28941,1000.0,34.411,1000.0,0.0365647967618
62.0,34.7587,14.787592176,1.30832,0.0,1000.0,106,99.9956828753,1.30441516271,0.0289947,3.0,0.0100096,1.30501436384,106,14.0563380282,-1.43923,1.30433,1000.0,34.5154,1000.0,0.0386341686329
114.0,34.9112,19.4798573853,1.31721,0.0,1000.0,107,99.9956828753,1.31286593168,0.0354315,3.0,0.0096867,1.31405625284,107,15.6875,-1.44687,1.3128,1000.0,34.584,1000.0,0.0378041274315
176.0,35.0357,29.6236975517,1.32964,0.0,1000.0,108,99.9956828753,1.32572572788,0.178591,3.0,0.00990252,1.32677399588,108,17.8392857143,-1.46004,1.3256,1000.0,34.6284,1000.0,0.0379158523667
127.0,35.1481,19.4388343407,1.33794,0.0,1000.0,109,99.9956828753,1.33329525231,0.17681,3.0,0.0107235,1.33439351559,109,16.4339622642,-1.4675,1.33319,1000.0,34.7814,1000.0,0.0394232225947
136.0,35.3271,22.4294248982,1.35012,0.0,1000.0,110,99.9956828753,1.34599374631,0.111556,3.0,0.00995779,1.34677517367,110,19.2807017544,-1.47842,1.34586,1000.0,34.8005,1000.0,0.0390963149514
65.0,35.482,17.1906801497,1.35774,0.0,1000.0,111,99.9956828753,1.35353580906,0.133568,3.0,0.0111112,1.35438184064,111,16.7049180328,-1.49071,1.35352,1000.0,34.9278,1000.0,0.0400003937425
93.0,35.6223,15.8786297301,1.36542,0.0,1000.0,112,99.9956828753,1.36083187539,0.0176226,3.0,0.0107206,1.36169637134,112,13.1948051948,-1.49906,1.36079,1000.0,34.9628,1000.0,0.0394441579
98.0,35.7104,21.1889464884,1.37317,0.0,1000.0,113,99.9956828753,1.36903851134,0.0394247,2.0,0.00971587,1.36975347545,113,14.6176470588,-1.50077,1.36895,1000.0,35.0076,1000.0,0.0375966450133
70.0,35.9107,13.843143161,1.37568,0.0,1000.0,114,99.9956828753,1.3709486239,0.0316001,3.0,0.0113154,1.37197317643,114,12.7323943662,-1.50495,1.37091,1000.0,35.0973,1000.0,0.0400658530825
133.0,36.0243,27.2401212902,1.38537,0.0,1000.0,115,99.9956828753,1.38074632277,0.615257,3.0,0.0114248,1.38182291085,115,20.2264150943,-1.51565,1.38066,1000.0,35.1931,1000.0,0.0399060815315
114.0,36.1387,21.0289058389,1.38546,0.0,1000.0,116,99.9956828753,1.38099757128,0.0530125,3.0,0.0109393,1.38199261379,116,17.2372881356,-1.51698,1.38084,1000.0,35.3314,1000.0,0.0398045594196
162.0,36.2521,32.2911279169,1.39287,0.0,1000.0,117,99.9956828753,1.3882916204,0.16076,3.0,0.0115051,1.38920933975,117,22.6818181818,-1.52164,1.38827,1000.0,35.3937,1000.0,0.0403456875156
83.0,36.4486,17.3400489018,1.39379,0.0,1000.0,118,99.9956828753,1.38906141416,0.202808,3.0,0.011686,1.39004711497,118,17.9642857143,-1.52193,1.38907,1000.0,35.3846,1000.0,0.0410020878396
134.0,36.6315,26.1437777778,1.40007,0.0,1000.0,119,99.9956828753,1.39557984773,0.38728,3.0,0.00999309,1.3966796274,119,19.5882352941,-1.52773,1.39549,1000.0,35.453,1000.0,0.0370036251601
94.0,36.7939,23.6027150082,1.40345,0.0,1000.0,120,99.9956828753,1.39834134281,0.0910446,3.0,0.0111671,1.39943749391,120,22.9302325581,-1.53242,1.39814,1000.0,35.5058,1000.0,0.039163477722
106.0,36.9071,19.892565613,1.40677,0.0,1000.0,121,99.9956828753,1.40221972481,0.109924,3.0,0.0103781,1.40309169438,121,17.05,-1.53234,1.40234,1000.0,35.594,1000.0,0.0380017902041
60.0,37.0508,13.8503960011,1.40996,0.0,1000.0,122,99.9956828753,1.40581866706,0.444196,3.0,0.0105132,1.40674174919,122,14.2285714286,-1.53858,1.40569,1000.0,35.7159,1000.0,0.0373624742705
83.0,37.2156,18.5548505993,1.41346,0.0,1000.0,123,99.9956828753,1.40887044605,0.271823,3.0,0.010434,1.40983579568,123,20.1914893617,-1.54268,1.40888,1000.0,35.8446,1000.0,0.0368789918673
115.0,37.352,23.2109808103,1.42142,0.0,1000.0,124,99.9956828753,1.41668360005,0.169848,3.0,0.0109933,1.41764023515,124,19.9807692308,-1.54489,1.41666,1000.0,35.9985,1000.0,0.0384302842321
