QFunRegParamNorm,PolicyRegParamNorm,AverageEsReturn,AverageAction,AverageReturn,AverageAbsQYDiff,AverageQLoss,AverageDiscountedReturn,AverageAbsQ,MinEsReturn,StdEsReturn,AverageQ,StdReturn,Epoch,MaxReturn,AverageAbsY,MinReturn,MaxEsReturn,AveragePolicySurr,Iteration,AverageY
38.4608,46.2658,1518.82124351,0.942704,1235.3379173,0.126493517724,0.064418,154.167960098,5.83109,1518.82124351,0.0,5.83107,555.389344244,92,2374.86061767,5.8322984159,685.530846172,1518.82124351,-5.94561,92,5.83222925761
38.7635,46.5691,1463.14250095,0.954352,2419.35896373,0.13009524312,0.0681955,199.017047748,5.96728,1463.14250095,0.0,5.96728,85.8642708621,93,2559.49848669,5.96832587993,2222.77062279,1463.14250095,-6.08702,93,5.968269567
39.0153,46.8701,1678.04939635,0.950376,1698.57445695,0.13096559411,0.0590854,180.005098492,6.08181,1678.04939635,0.0,6.08181,568.16235646,94,2218.4762127,6.08340754086,884.270119436,1678.04939635,-6.19632,94,6.08339394739
39.2642,47.1623,1515.32226929,0.956586,1984.82165441,0.135442746346,0.0706144,159.769355241,6.27773,1515.32226929,0.0,6.27773,84.4740557961,95,2130.71641127,6.27890728209,1824.5896481,1515.32226929,-6.39486,95,6.27885531601
39.5088,47.47,1456.1525162,0.955184,1743.64068477,0.138669760972,0.0770902,194.241713758,6.39524,1456.1525162,0.0,6.39524,552.97684561,96,2521.92049084,6.3968139752,954.454936488,1456.1525162,-6.51846,96,6.39675053157
39.7272,47.731,1599.46275647,0.96376,2527.77746397,0.133268956974,0.0600357,221.480036969,6.54874,1599.46275647,0.0,6.54874,707.399190212,97,3338.51800084,6.54990454971,1100.49218509,1599.46275647,-6.67618,97,6.54986567123
39.9767,47.9629,1754.9575035,0.95928,2053.44902097,0.141556142359,0.0784967,182.6709681,6.67693,1754.9575035,0.0,6.67693,476.910650405,98,2454.29487241,6.67857290147,679.193166774,1754.9575035,-6.79665,98,6.67852139899
40.1998,48.1939,1847.89690213,0.943405,1270.35816082,0.141709581687,0.0772192,144.352067059,6.85088,1847.89690213,0.0,6.85088,550.605521298,99,2041.7009335,6.85196336783,249.074485531,1847.89690213,-6.96815,99,6.85193278293
40.458,48.4949,1953.37265448,0.962757,2258.55655197,0.151310152229,0.101797,215.337950487,6.95628,1953.37265448,0.0,6.95628,474.125925058,100,2656.81740414,6.95801512682,1229.67332391,1953.37265448,-7.07131,100,6.95796404759
40.6066,48.7744,1398.13448664,0.963738,2440.32696827,0.141164890938,0.0715199,203.134211207,7.04509,1398.13448664,0.0,7.04509,427.873808983,101,2804.83935518,7.04613125568,1241.71489405,1398.13448664,-7.16587,101,7.04609111385
40.8446,49.008,1889.70737474,0.966903,2858.75137367,0.148162565516,0.0972926,239.05037281,7.219,1889.70737474,0.0,7.219,432.854041613,102,3226.73874334,7.22028797665,1627.96315639,1889.70737474,-7.33548,102,7.22022637251
41.1075,49.2541,1973.37767941,0.974165,2744.5966268,0.151307874295,0.0939114,225.24784774,7.40432,1973.37767941,0.0,7.40432,52.6989903364,103,2830.07732751,7.40568076546,2647.37692615,1973.37767941,-7.52659,103,7.40565729069
41.3749,49.5092,1810.12910303,0.963085,2574.46021596,0.152760847767,0.101653,222.353208928,7.52883,1810.12910303,0.0,7.52883,488.649087103,104,2874.22940029,7.5307166673,1127.05248506,1810.12910303,-7.6544,104,7.53067256712
41.6833,49.7558,2010.36976181,0.96266,2438.0436789,0.149859163961,0.0875305,208.550211315,7.67442,2010.36976181,0.0,7.67442,78.5105818916,105,2548.00275095,7.67569302735,2291.78343167,2010.36976181,-7.80108,105,7.67562059057
