AverageReturn,Epoch,AverageAbsY,PolicyRegParamNorm,AverageQ,AveragePolicySurr,StdReturn,MaxEsReturn,QFunRegParamNorm,AverageAbsQYDiff,Iteration,StdEsReturn,AverageAbsQ,MinEsReturn,AverageQLoss,MinReturn,AverageY,AverageAction,AverageEsReturn,MaxReturn,AverageDiscountedReturn
3261.16359489,103,6.97998858017,104.0,6.97861,-7.10355,250.227368189,2552.08970276,82.9411,0.149765277361,103,0.0,6.97861,2552.08970276,0.102667,2847.38952202,6.97996433721,0.958111,2552.08970276,3521.51439741,260.009875172
3196.58287067,104,7.13408779512,104.463,7.13256,-7.25455,288.628175228,2246.48805345,83.3107,0.150998022573,104,0.0,7.13256,2246.48805345,0.111144,2781.97178134,7.13403372282,0.948018,2246.48805345,3677.30710885,275.967612408
2826.80374552,105,7.29834577828,104.95,7.29662,-7.42339,712.761504847,2385.61388257,83.7452,0.1519825565,105,0.0,7.29662,2385.61388257,0.102771,784.292109793,7.2983026,0.950098,2385.61388257,3373.3631375,240.850864772
3196.48281557,106,7.50646536103,105.46,7.50487,-7.64079,184.870709812,2584.12897273,84.1488,0.155897989201,106,0.0,7.50487,2584.12897273,0.133062,2745.76573415,7.5064196574,0.940997,2584.12897273,3452.36578585,271.682137339
3424.53876831,107,7.65278852865,105.883,7.65081,-7.77345,677.524433868,2425.70157958,84.5216,0.15888678939,107,0.0,7.65081,2425.70157958,0.133834,1427.39530315,7.65277259334,0.954502,2425.70157958,3865.53797317,289.419353413
3437.9148324,108,7.87981906005,106.315,7.87866,-8.01515,158.264145866,2651.6485318,84.9363,0.159672357014,108,0.0,7.87866,2651.6485318,0.120332,3083.74796372,7.87976924477,0.957998,2651.6485318,3675.69835285,266.020678731
3422.07928429,109,7.98748809367,106.841,7.98536,-8.1242,224.91491343,2523.29416023,85.3795,0.155180430371,109,0.0,7.98536,2523.29416023,0.09521,3055.06983709,7.98745644188,0.952137,2523.29416023,3702.0106985,266.12390648
2149.48175891,110,8.17565981934,107.406,8.1742,-8.30996,1129.45116941,2679.96748696,85.7259,0.163773960362,110,0.0,8.1742,2679.96748696,0.140637,503.363800283,8.17562345814,0.925604,2679.96748696,3321.13784059,231.621050501
3452.72966984,111,8.36264688876,107.917,8.36108,-8.50187,279.611717188,2164.66864034,86.0758,0.159064783089,111,0.0,8.36108,2164.66864034,0.10567,2721.78615097,8.36258400587,0.951145,2164.66864034,3719.87706587,291.703449587
3232.85283403,112,8.54253333633,108.337,8.54064,-8.69052,558.43916943,2550.35304581,86.4485,0.160400254741,112,0.0,8.54064,2550.35304581,0.102478,1691.33678537,8.54249633776,0.948421,2550.35304581,3761.36020161,286.986426901
1607.48053002,113,8.7824207316,108.8,8.78093,-8.93313,1011.38446851,2440.62235795,86.8891,0.16718510433,113,0.0,8.78093,2440.62235795,0.136267,358.454149355,8.78239160829,0.925803,2440.62235795,3410.58873594,249.066658436
2572.44097385,114,8.89624981234,109.228,8.89408,-9.04649,941.035797132,2789.08935325,87.21,0.169950327951,114,0.0,8.89408,2789.08935325,0.159319,1058.35055801,8.89622983606,0.932472,2789.08935325,3757.44130958,251.496869012
2317.74590972,115,9.13967654793,109.658,9.13825,-9.28885,985.306824574,2522.72587992,87.5479,0.179709466878,115,0.0,9.13825,2522.72587992,0.195401,328.26995219,9.13963765441,0.943795,2522.72587992,3047.18072618,225.881453305
1163.76415659,116,9.41907308983,110.158,9.41696,-9.57714,983.385725905,2456.69511027,87.8865,0.170639006355,116,0.0,9.41696,2456.69511027,0.142206,65.2894129638,9.41904581109,0.920788,2456.69511027,2699.4236964,169.60848071
