2017-05-05 01:03:01.665005 EDT | MinEsReturn                 0.111435
2017-05-05 01:03:01.665940 EDT | AverageDiscountedReturn     5.94271
2017-05-05 01:03:01.666895 EDT | AverageQLoss                0.0527256
2017-05-05 01:03:01.667787 EDT | AveragePolicySurr           3.20183
2017-05-05 01:03:01.668724 EDT | AverageQ                    0.00432965
2017-05-05 01:03:01.669616 EDT | AverageAbsQ                 0.00753862
2017-05-05 01:03:01.670571 EDT | AverageY                    0.00389789
2017-05-05 01:03:01.671463 EDT | AverageAbsY                 0.0163028
2017-05-05 01:03:01.672380 EDT | AverageAbsQYDiff            0.0139717
2017-05-05 01:03:01.673347 EDT | AverageAction               1.06504e+07
2017-05-05 01:03:01.674318 EDT | PolicyRegParamNorm       2477.44
2017-05-05 01:03:01.675274 EDT | QFunRegParamNorm            7.93185
2017-05-05 01:03:01.676090 EDT | AverageForwardProgress      0.0016657
2017-05-05 01:03:01.676566 EDT | MaxForwardProgress          0.0475611
2017-05-05 01:03:01.677036 EDT | MinForwardProgress         -0.0422478
2017-05-05 01:03:01.677504 EDT | StdForwardProgress          0.0109821
2017-05-05 01:03:01.677968 EDT | AveragePolicyStd            1e-06
2017-05-05 01:03:01.678440 EDT | -----------------------  --------------
2017-05-05 01:03:01.679122 EDT | [Unified_Policy_Gradients/Unified_SPG_DDPG_Hopper] epoch #17 | Training started
2017-05-05 01:07:16.810321 EDT | [Unified_Policy_Gradients/Unified_SPG_DDPG_Hopper] epoch #17 | Training finished
2017-05-05 01:07:16.815486 EDT | [Unified_Policy_Gradients/Unified_SPG_DDPG_Hopper] epoch #17 | Collecting samples for evaluation
2017-05-05 01:07:36.429348 EDT | -----------------------  --------------
2017-05-05 01:07:36.430363 EDT | Epoch                      17
2017-05-05 01:07:36.430790 EDT | AverageReturn               4.4272
2017-05-05 01:07:36.431212 EDT | StdReturn                   0.435844
2017-05-05 01:07:36.431648 EDT | MaxReturn                   7.7641
2017-05-05 01:07:36.432057 EDT | MinReturn                   3.14119
2017-05-05 01:07:36.432463 EDT | AverageEsReturn             0.986125
2017-05-05 01:07:36.432871 EDT | StdEsReturn                 0.057405
2017-05-05 01:07:36.433278 EDT | MaxEsReturn                 2.00332
2017-05-05 01:07:36.433682 EDT | MinEsReturn                 0.292609
2017-05-05 01:07:36.434089 EDT | AverageDiscountedReturn     4.35659
2017-05-05 01:07:36.434493 EDT | AverageQLoss                0.616481
2017-05-05 01:07:36.434897 EDT | AveragePolicySurr           3.54924
2017-05-05 01:07:36.435299 EDT | AverageQ                   -0.00770069
2017-05-05 01:07:36.435721 EDT | AverageAbsQ                 0.0198089
2017-05-05 01:07:36.436126 EDT | AverageY                   -0.0182258
2017-05-05 01:07:36.436530 EDT | AverageAbsY                 0.0380644
2017-05-05 01:07:36.436933 EDT | AverageAbsQYDiff            0.0504495
2017-05-05 01:07:36.437335 EDT | AverageAction               8.87368e+06
2017-05-05 01:07:36.437738 EDT | PolicyRegParamNorm       2553.81
2017-05-05 01:07:36.438139 EDT | QFunRegParamNorm            8.02338
2017-05-05 01:07:36.438545 EDT | AverageForwardProgress      0.00266501
2017-05-05 01:07:36.438947 EDT | MaxForwardProgress          0.0291598
2017-05-05 01:07:36.439357 EDT | MinForwardProgress         -0.0215413
2017-05-05 01:07:36.439764 EDT | StdForwardProgress          0.00713748
2017-05-05 01:07:36.440168 EDT | AveragePolicyStd            1e-06
2017-05-05 01:07:36.440665 EDT | -----------------------  --------------
2017-05-05 01:07:36.441227 EDT | [Unified_Policy_Gradients/Unified_SPG_DDPG_Hopper] epoch #18 | Training started
2017-05-05 01:11:55.582650 EDT | [Unified_Policy_Gradients/Unified_SPG_DDPG_Hopper] epoch #18 | Training finished
2017-05-05 01:11:55.587538 EDT | [Unified_Policy_Gradients/Unified_SPG_DDPG_Hopper] epoch #18 | Collecting samples for evaluation
2017-05-05 01:12:14.861289 EDT | -----------------------  --------------
2017-05-05 01:12:14.862034 EDT | Epoch                      18
2017-05-05 01:12:14.862311 EDT | AverageReturn               6.15497
2017-05-05 01:12:14.862591 EDT | StdReturn                   0.688405
2017-05-05 01:12:14.862857 EDT | MaxReturn                   9.32464
2017-05-05 01:12:14.863124 EDT | MinReturn                   3.79478
2017-05-05 01:12:14.863407 EDT | AverageEsReturn             0.987884
2017-05-05 01:12:14.863666 EDT | StdEsReturn                 0.0683307
2017-05-05 01:12:14.863928 EDT | MaxEsReturn                 1.97629
2017-05-05 01:12:14.864185 EDT | MinEsReturn                 0.226541
2017-05-05 01:12:14.864441 EDT | AverageDiscountedReturn     5.99814
2017-05-05 01:12:14.864694 EDT | AverageQLoss                0.429809
2017-05-05 01:12:14.864948 EDT | AveragePolicySurr         -32.5087
2017-05-05 01:12:14.865203 EDT | AverageQ                   -0.0122523
2017-05-05 01:12:14.865457 EDT | AverageAbsQ                 0.0278954
2017-05-05 01:12:14.865712 EDT | AverageY                   -0.0110283
2017-05-05 01:12:14.865967 EDT | AverageAbsY                 0.0314784
2017-05-05 01:12:14.866228 EDT | AverageAbsQYDiff            0.0518453
2017-05-05 01:12:14.866481 EDT | AverageAction               9.01953e+06
2017-05-05 01:12:14.866734 EDT | PolicyRegParamNorm       2625.09
2017-05-05 01:12:14.866988 EDT | QFunRegParamNorm            8.14219
2017-05-05 01:12:14.867240 EDT | AverageForwardProgress      0.00164789
2017-05-05 01:12:14.867515 EDT | MaxForwardProgress          0.0361261
2017-05-05 01:12:14.867827 EDT | MinForwardProgress         -0.0343954
2017-05-05 01:12:14.868173 EDT | StdForwardProgress          0.010951
2017-05-05 01:12:14.868532 EDT | AveragePolicyStd            1e-06
2017-05-05 01:12:14.868877 EDT | -----------------------  --------------
2017-05-05 01:12:14.869402 EDT | [Unified_Policy_Gradients/Unified_SPG_DDPG_Hopper] epoch #19 | Training started
