MaxReturn,PolicyRegParamNorm,AverageY,AverageAbsQYDiff,MinEsReturn,AverageQ,MaxEsReturn,Iteration,StdReturn,AverageAbsY,AverageQLoss,StdEsReturn,AverageAbsQ,AverageAction,MinReturn,QFunRegParamNorm,AverageEsReturn,AverageReturn,AverageDiscountedReturn,AveragePolicySurr,Epoch
3581.26948912,44.5349,113.641512857,1.92183103267,2409.03637381,113.624,2409.03637381,97,50.8294669494,113.641714778,15.9499,0.0,113.624,0.882747,3425.33541558,48.4778,2409.03637381,3499.94189795,294.814393275,-115.278,97
3495.35137361,44.6605,115.146058973,1.94350264763,2266.35152096,115.134,2266.35152096,98,69.6691537341,115.146500456,16.2866,0.0,115.134,0.869424,3260.11320826,48.7826,2266.35152096,3364.15701837,286.757441778,-116.862,98
3257.2762404,44.9098,117.3620945,1.96211671114,899.102479125,117.349,899.102479125,99,173.167843697,117.362597829,17.5684,0.0,117.349,0.881669,2650.03875828,49.0724,899.102479125,2968.01049795,240.193385681,-119.07,99
3424.29228489,45.1283,118.966394559,2.00434967366,2629.02595186,118.952,2629.02595186,100,755.746667944,118.967011488,18.3709,0.0,118.952,0.891273,838.853022591,49.4353,2629.02595186,3053.58971439,263.690770861,-120.694,100
4095.7475133,45.3307,120.795069567,2.00123724342,2496.81844936,120.78,2496.81844936,101,91.5168008885,120.795545811,18.5321,0.0,120.78,0.869432,3805.17466014,49.7411,2496.81844936,3932.21945092,328.451516439,-122.556,101
4192.77455961,45.5519,123.33135168,2.03826144015,2471.23888704,123.317,2471.23888704,102,339.398410136,123.33165407,19.5847,0.0,123.317,0.885415,2943.30608934,50.0164,2471.23888704,3847.66745631,308.012135304,-125.13,102
3846.82505777,45.7586,125.098931263,2.06250075666,2438.01446285,125.081,2438.01446285,103,94.0529706274,125.099254308,21.4199,0.0,125.081,0.884367,3515.74142961,50.3401,2438.01446285,3656.28394988,299.875412611,-126.845,103
3895.61395096,46.0154,127.287390905,2.08111197979,2576.22189232,127.274,2576.22189232,104,121.960084237,127.287686395,22.3211,0.0,127.274,0.869819,3504.65823255,50.6468,2576.22189232,3736.75115505,312.956150304,-129.035,104
4146.72116833,46.2396,129.347406612,2.09045409873,2277.90597691,129.332,2277.90597691,105,99.5216529513,129.347854269,21.8838,0.0,129.332,0.89289,3820.02355294,50.9589,2277.90597691,3974.65038742,326.515823734,-131.131,105
3905.44686771,46.3624,131.477901069,2.05900855526,2616.21658882,131.468,2616.21658882,106,111.018256432,131.478409856,20.0725,0.0,131.468,0.892141,3502.6731817,51.2332,2616.21658882,3820.80012812,312.913855715,-133.199,106
4037.40120448,46.5841,133.405847104,2.11975516502,2438.15298735,133.391,2438.15298735,107,622.525542387,133.406316213,22.842,0.0,133.391,0.90677,1858.25668335,51.5017,2438.15298735,3507.56101181,300.733858095,-135.179,107
3579.51541721,46.8255,135.247165208,2.19001207143,2353.67724938,135.231,2353.67724938,108,222.629799061,135.247594474,25.8276,0.0,135.231,0.917545,2942.59976524,51.7835,2353.67724938,3290.23998184,285.254492126,-137.036,108
4211.28272396,46.9823,137.216388869,2.10977539707,2117.50492743,137.2,2117.50492743,109,161.270322695,137.216703277,21.2492,0.0,137.2,0.912755,3644.78661366,52.0686,2117.50492743,3926.80282801,315.880079461,-139.072,109
3772.38951274,47.2582,139.552066974,2.18641759735,2382.93105346,139.538,2382.93105346,110,617.387595771,139.552550378,24.1476,0.0,139.538,0.904106,1509.33079218,52.3618,2382.93105346,3285.05289916,288.980468935,-141.393,110
3510.44167651,47.469,141.59542993,2.16126822971,2265.8622436,141.577,2265.8622436,111,67.9678119914,141.595968915,23.4557,0.0,141.577,0.908327,3257.69219941,52.6614,2265.8622436,3326.31461756,278.719250847,-143.422,111
4194.55592818,47.6507,143.482878798,2.24858408826,2376.23938453,143.468,2376.23938453,112,144.570013875,143.483325087,26.9957,0.0,143.468,0.915891,3702.89476421,52.9362,2376.23938453,3960.86302529,320.957393089,-145.3,112
3830.49994099,47.854,145.101101977,2.24676466713,2538.60926705,145.08,2538.60926705,113,65.4244434939,145.101310753,29.9334,0.0,145.08,0.899598,3604.34726083,53.2408,2538.60926705,3737.9816594,314.206515252,-146.951,113
3847.13391352,48.0349,147.654508939,2.28864472232,2439.34596164,147.639,2439.34596164,114,81.2496515746,147.654926056,31.1699,0.0,147.639,0.892991,3632.34698178,53.5164,2439.34596164,3755.46887626,322.873154242,-149.53,114
3817.20985563,48.2551,149.251761177,2.24482204356,2175.83613867,149.236,2175.83613867,115,127.447698959,149.252036088,29.3153,0.0,149.236,0.901107,3362.40095172,53.757,2175.83613867,3571.93299439,296.341512043,-151.048,115
4117.81739821,48.4531,151.818732314,2.19157071562,2458.66886316,151.806,2458.66886316,116,152.456650941,151.819087885,24.2065,0.0,151.806,0.915616,3686.13957749,53.9854,2458.66886316,3955.35218653,329.670480438,-153.703,116
3774.88676479,48.6537,153.168636457,2.31724250867,2483.77676275,153.154,2483.77676275,117,232.913057107,153.168954378,31.8107,0.0,153.154,0.9141,3156.88196235,54.2958,2483.77676275,3424.70250867,290.637525119,-154.982,117
4269.69416055,48.8207,155.074363199,2.24146512037,2260.30294641,155.057,2260.30294641,118,614.446885991,155.074656244,27.4597,0.0,155.057,0.912203,2149.85075235,54.6107,2260.30294641,3990.41331498,337.40193578,-156.901,118
3848.48314266,49.0005,156.754408428,2.35684931067,2279.07159148,156.732,2279.07159148,119,124.879166974,156.754932501,34.5704,0.0,156.732,0.90795,3433.87726856,54.9737,2279.07159148,3682.48994717,305.733750589,-158.624,119
