AverageAction,StdReturn,PolicyRegParamNorm,QFunRegParamNorm,MaxEsReturn,Iteration,AverageEsReturn,MinReturn,AverageAbsQ,AverageQLoss,Epoch,StdEsReturn,AverageAbsY,AverageReturn,AverageQ,AverageDiscountedReturn,AverageAbsQYDiff,AveragePolicySurr,MinEsReturn,MaxReturn,AverageY
0.72692,76.6686058599,43.6464,74.0121,501.984190584,104,238.380741998,295.883695576,195.466,113.321,104,138.085884871,195.372928836,405.995388703,195.332,187.988402069,4.80201722259,-199.881,11.921223576,553.505640505,195.349121001
0.760242,20.4970202059,43.8264,74.4268,493.32755204,105,264.209376761,412.887616144,196.317,142.396,105,146.865721455,196.209989212,458.165574098,196.15,202.087943594,5.21731418356,-200.768,6.79228060244,595.260774254,196.174530943
0.667053,52.3701232894,43.9656,74.81,446.574422265,106,290.397491861,379.699830824,199.061,108.622,106,101.502709861,198.944621906,543.931739276,198.888,213.259327072,4.8823014168,-203.504,117.154693128,672.076799883,198.907045492
0.764262,29.8454039389,44.148,75.2082,437.111805165,107,226.554961005,395.944396033,200.544,118.32,107,130.405461741,200.464542694,457.060186334,200.419,202.649978282,4.99914485092,-204.848,4.45737995631,654.946027529,200.435352876
0.730935,7.94879940239,44.3393,75.6791,492.998423201,108,213.572788021,449.629981697,202.463,135.877,108,133.650749475,202.361964023,460.694395202,202.309,204.725452492,5.19849568604,-206.794,35.0970212247,498.894166404,202.32835488
0.714113,104.158822106,44.5062,76.025,579.165143314,109,169.414521675,225.792735904,203.299,134.702,109,183.14830818,203.193669158,554.032011115,203.123,214.253779908,5.23573694037,-207.672,13.3126412697,672.242093564,203.139342619
0.749841,27.35421352,44.6175,76.3895,570.405678963,110,200.730064773,408.648254566,205.877,136.383,110,179.485155503,205.770837199,478.508794176,205.695,206.99647599,5.27818289256,-210.331,19.1813396323,619.875283759,205.72584501
0.70722,71.9265887815,44.7309,76.7235,503.045159049,111,237.705018321,244.539650293,207.274,133.975,111,136.423258414,207.157066263,376.618695063,207.102,180.917163837,5.24586289254,-211.824,23.5617394003,449.804860017,207.113106246
0.725059,90.4005633816,44.9234,77.127,635.176195802,112,283.795491047,231.590390773,209.168,155.008,112,223.382394218,209.070893624,510.599819154,208.995,211.259343663,5.53243523615,-213.867,21.3110219871,659.623325651,209.032263164
0.745495,41.6202830963,45.1131,77.5018,658.008979338,113,322.489746751,266.529009281,210.727,144.644,113,165.022590667,210.611401596,410.137238047,210.544,190.064697253,5.27050542276,-215.418,124.619204983,522.483365261,210.567449737
0.762658,70.9273758349,45.2593,77.9222,452.486636246,114,236.297416154,166.549785156,212.678,160.913,114,137.771753012,212.557423029,477.000945491,212.512,204.959151179,5.59964549234,-217.562,10.2861276693,659.737394348,212.519483366
0.71584,116.377163531,45.365,78.2618,496.561304852,115,233.291096332,254.669225592,213.769,139.278,115,174.949008171,213.693583444,532.850737161,213.607,213.041228997,5.40062363677,-218.566,9.15154416322,727.064203855,213.640601726
0.725404,113.522852955,45.5471,78.5875,486.969330727,116,228.578772957,234.250907274,215.594,132.143,116,150.837613303,215.481566088,500.431749109,215.416,204.950923847,5.27109117459,-220.448,4.12239745936,656.370092546,215.431161573
0.716638,96.4534710026,45.7331,78.9745,581.590086083,117,297.495371277,242.729978952,217.306,155.208,117,126.96942346,217.18806266,555.156156192,217.127,215.726342679,5.59058319882,-222.183,135.917992133,697.418864923,217.147743178
0.76321,59.9652217745,45.8588,79.2824,442.059599687,118,285.582837487,523.93395627,219.895,127.6,118,124.898664482,219.7948844,619.097880936,219.712,227.447486359,5.34233846575,-224.521,19.5800074517,715.503958939,219.745192501
0.670433,71.4546669859,46.0943,79.6779,555.062520124,119,253.550456242,447.059266219,220.411,169.931,119,209.55020068,220.308218165,553.184728197,220.24,212.225242216,5.68717252815,-225.252,12.3019514131,679.434109649,220.269143905
0.700184,70.1085840867,46.2626,79.9594,429.672976068,120,226.842262522,274.299809621,222.067,165.917,120,137.118711892,221.975602116,530.735767073,221.883,208.840197845,5.65112764393,-227.082,8.84952066725,612.928543881,221.9218615
0.713447,56.7818554051,46.3656,80.3123,703.114726776,121,292.954062152,481.074472306,223.521,137.721,121,196.470640288,223.39405154,635.248402728,223.335,228.023042569,5.42626667218,-228.421,31.3517626109,718.487077643,223.343002581
0.706547,20.0840013315,46.4384,80.5782,619.445248893,122,172.812534206,485.875731488,225.149,145.14,122,168.410982408,225.053708373,547.907379016,224.988,214.143661289,5.46077155351,-229.818,8.63676732089,603.22679902,225.012481729
