AverageDiscountedReturn,AverageQLoss,StdEsReturn,AverageAbsQYDiff,AverageAbsY,AverageY,PolicyRegParamNorm,QFunRegParamNorm,MinReturn,AveragePolicySurr,MinEsReturn,StdReturn,MaxReturn,AverageReturn,AverageAbsQ,Epoch,AverageQ,AverageEsReturn,AverageAction,MaxEsReturn,Iteration
122.994279443,23.4014,91.0054492726,1.95708714836,99.0869185715,99.0816032008,44.8811,63.5702,197.720748246,-102.03,4.66837195054,6.04016221804,231.081234591,219.011189577,99.1286,83,99.0728,118.881828648,0.593126,225.96749317,83
121.744451022,27.1125,83.8661560772,2.06284618169,100.044501777,100.038712082,45.074,64.0621,199.528420075,-103.132,13.156164212,1.51091091029,205.816292423,202.843787696,100.09,84,100.033,117.541555439,0.563711,233.822834064,84
121.49812556,23.8601,84.4280505159,1.9976643715,101.541136716,101.534106534,45.2244,64.5283,203.1287562,-104.598,13.6946158957,1.33621663388,210.516934193,205.856992509,101.587,85,101.524,115.639846688,0.515506,252.593029469,85
124.088021081,25.7894,74.7298562093,2.05723661242,102.477228457,102.470844856,45.4713,65.036,203.422384563,-105.489,12.624742475,1.42937149061,210.396901697,207.275755357,102.52,86,102.462,127.894181714,0.560836,223.144783071,86
118.050982906,27.9989,76.4062151763,2.10836944776,103.338526285,103.332449253,45.6664,65.5062,179.858668646,-106.425,13.4170874285,2.13674728198,190.757374604,186.618430779,103.391,87,103.326,141.149467836,0.67597,227.107217353,87
122.155356328,27.7349,84.4165562536,2.08102976548,104.113223817,104.108410812,45.8559,66.0021,197.541652096,-107.247,22.3385122435,1.91385083173,206.156384294,201.268790446,104.16,88,104.1,128.002310107,0.618246,216.762577241,88
123.534661868,27.3473,52.9947340277,2.10556843553,104.950607201,104.945592219,46.0697,66.4794,190.751756891,-108.101,26.2462490924,4.01865716975,208.673965313,204.10684429,105.002,89,104.94,177.937967175,0.590933,227.500834684,89
122.553217898,26.3828,75.5159270723,2.09280675595,106.409878441,106.407313248,46.2534,66.8522,197.583593042,-109.472,19.2428404453,1.31330660891,204.092049339,200.417499876,106.457,90,106.394,131.185551912,0.61953,206.614388793,90
120.019982689,25.8614,77.0566962095,2.10397723317,106.938283686,106.933517177,46.4164,67.309,196.263643889,-110.0,9.41845665901,1.20168002377,202.868622453,199.623431466,106.984,91,106.927,118.019674081,0.597891,208.332475205,91
123.060859658,32.3741,80.7298412618,2.20080520249,107.632648409,107.629082722,46.5802,67.8191,201.129928798,-110.698,7.94223153859,1.64124021785,209.26349143,205.522299298,107.681,92,107.617,106.672888177,0.571392,223.771766841,92
121.598332575,27.2328,82.367162444,2.09078622909,108.64369195,108.639042952,46.765,68.2286,194.082109534,-111.675,10.3039879301,4.60488793136,210.412012044,202.010667899,108.687,93,108.635,94.0222931692,0.564175,213.6481969,93
117.608353425,29.2654,84.6767611457,2.19844516776,109.113695977,109.109324892,46.9162,68.6809,186.741608477,-112.248,9.54771404027,1.95976335892,201.918942469,192.555788005,109.169,94,109.096,105.206836395,0.602838,216.697834595,94
121.55539521,35.0216,65.2253158091,2.26965581716,109.801785291,109.796686756,47.1,69.0296,167.664745982,-112.78,18.3286032204,7.85676193402,213.280648062,205.118561139,109.864,95,109.793,132.893765548,0.540527,197.032552472,95
115.558140414,30.5935,73.6794303271,2.17397458367,110.302466719,110.296671698,47.2931,69.436,188.865980039,-113.285,5.9589428346,1.65267903925,196.456650337,192.021177833,110.357,96,110.287,98.6801318158,0.542582,205.216002148,96
119.480436128,29.8441,69.3705528386,2.16973057132,111.017211776,111.010076826,47.4911,69.8007,180.734694847,-114.093,10.3785511444,4.33675461215,207.472392524,192.191306517,111.082,97,111.002,132.744959808,0.636844,206.59394235,97
121.680950569,33.3691,77.3087303351,2.26617177103,111.238353888,111.232558064,47.6736,70.158,200.430324569,-114.176,10.1106700337,2.55175766383,212.47154791,206.44938594,111.302,98,111.226,98.1361481794,0.548931,209.816402753,98
115.972647006,29.4201,81.968036655,2.21388576007,111.640786493,111.635240769,47.8447,70.5271,179.153397869,-114.652,9.28689750407,2.49783463592,193.680783841,183.887328679,111.694,99,111.625,111.475365985,0.625184,226.996017707,99
118.812779039,31.6415,82.3180360715,2.24747558882,112.15441907,112.147486845,48.0375,70.8912,185.324956715,-115.079,10.5943823769,2.18766983134,196.195045539,189.84616183,112.211,100,112.142,118.512993556,0.647847,230.546099656,100
104.483202211,31.7383,65.2922653558,2.25809770116,112.659463876,112.651687715,48.2109,71.3199,154.559385076,-115.577,19.4544932051,6.03957609932,192.39364897,161.676078886,112.71,101,112.642,136.987251492,0.64412,205.183538254,101
104.492409617,34.1984,67.4968739129,2.26816075376,113.070577534,113.062283876,48.3496,71.746,154.321058942,-115.944,15.80240358,6.43985616855,187.04526094,161.93856534,113.122,102,113.053,132.218936054,0.617932,203.953959938,102
111.914908301,29.7051,70.629686986,2.24630447825,113.02726875,113.019815204,48.5698,72.116,95.0273528051,-115.994,7.79087191315,7.76833545884,180.186086536,174.785545626,113.088,103,113.011,94.8371137203,0.731112,215.922309492,103
107.240506558,33.1191,70.5783474805,2.28394104106,113.537668781,113.527885657,48.7785,72.4978,157.000025021,-116.507,1.80821112614,4.04194065008,175.889726197,164.64601413,113.607,104,113.521,144.240653782,0.770523,212.056288119,104
103.947643633,31.3051,65.2797759126,2.26233075539,113.637151152,113.6257864,48.9488,72.8579,153.43824984,-116.587,16.3448214163,5.71784917429,188.909401094,160.049390006,113.704,105,113.62,132.101144989,0.640691,209.003126437,105
128.396618137,35.954,71.3430562842,2.33030628683,114.096981558,114.082964828,49.137,73.1704,211.12635072,-117.034,9.25573645658,1.58158373951,222.372420478,216.832639616,114.159,106,114.076,136.876476343,0.654337,204.613836951,106
110.23350283,37.4001,50.3501876271,2.40025894206,114.374055158,114.356900348,49.2554,73.5899,158.925943357,-117.415,64.1098235549,11.4492100489,201.232273146,173.660057588,114.435,107,114.349,166.551954599,0.699239,208.013004996,107
112.426113113,33.0114,62.5569803304,2.29611566825,114.932812621,114.919592867,49.4234,73.9439,158.445719739,-118.021,9.38430417855,14.0038309029,201.995389141,178.067495586,114.989,108,114.912,143.025899464,0.711595,213.293068484,108
113.380058109,33.4641,65.2289771686,2.33440680087,115.246873316,115.23808574,49.5863,74.2887,161.158262604,-118.327,9.02896379928,10.1297336431,205.64856538,178.519189404,115.301,109,115.229,132.483983956,0.760707,200.545932412,109
113.100281978,33.9257,67.9247565378,2.33873840001,115.304575821,115.292035426,49.7452,74.6257,160.140216988,-118.373,13.0946478616,14.6662142961,203.260085967,180.546737609,115.365,110,115.281,146.98363807,0.70709,212.657823091,110
113.455993438,35.3219,59.40307717,2.37417567028,115.762572499,115.750610941,49.8022,74.9972,164.846945136,-118.782,17.9072010509,4.33398655086,188.656251057,178.301873328,115.836,111,115.748,162.33293181,0.757482,212.777932655,111
110.137960415,34.3872,69.5627402283,2.32379836025,116.333049791,116.319819199,50.0153,75.3492,163.273308007,-119.444,15.7254597888,3.09298047821,186.810497365,171.93287393,116.393,112,116.312,143.232463242,0.784038,208.912316944,112
101.580913398,35.2003,55.2433624999,2.35326450279,116.106307512,116.090400881,50.2085,75.7457,142.158372908,-119.17,9.53017699846,3.32997887262,162.361050057,153.816510124,116.17,113,116.082,142.521434891,0.74554,196.042963369,113
122.534264455,32.5814,68.0500343213,2.27603461056,116.656120544,116.640586561,50.4089,76.0961,195.066666114,-119.599,2.45076537893,2.59127468145,210.562454738,206.170828498,116.72,114,116.636,114.531163943,0.737756,197.929915837,114
116.296572126,36.2292,74.158731484,2.38181998778,116.471654384,116.454626912,50.4987,76.4165,160.287092229,-119.475,10.6098436009,14.9060903253,208.395752279,188.615039181,116.545,115,116.449,119.968293764,0.736133,196.672420294,115
122.087601091,31.5089,58.1194395037,2.29713533065,116.878608954,116.863227324,50.6549,76.7702,184.4412501,-119.886,11.0114766509,6.54515419792,218.924707478,203.254621267,116.936,116,116.856,166.643100028,0.768626,226.207546593,116
118.752393791,36.4196,76.2569547444,2.37035894553,117.100465664,117.077034925,50.8337,77.0534,185.414537864,-120.014,10.7713418369,8.61720481702,214.051003306,195.865457579,117.162,117,117.07,116.816440776,0.727889,220.702706119,117
120.301946543,33.2575,42.9608055096,2.30953738192,117.50629177,117.488616652,50.9717,77.3338,180.349142933,-120.474,51.9480537582,6.64676207878,219.537597439,197.870912772,117.571,118,117.479,176.755456301,0.749837,216.344711459,118
