AverageAction,Iteration,PolicyRegParamNorm,MinEsReturn,MaxEsReturn,AverageY,AverageQ,AverageQLoss,StdReturn,Epoch,AverageReturn,AverageAbsQYDiff,MaxReturn,QFunRegParamNorm,AveragePolicySurr,MinReturn,AverageEsReturn,AverageAbsQ,AverageDiscountedReturn,StdEsReturn,AverageAbsY
0.989792,100,32.8073,89.8322612869,99.7058799282,6.64756295845,6.64677,0.0272371,0.132061199429,100,93.3782925303,0.0684535320667,93.5934108195,55.2371,-6.68235,93.1203377618,94.3366349458,6.64677,46.7264844729,2.32068058248,6.64756536956
0.986111,101,32.8662,88.3424579477,96.1800277835,6.6362248495,6.63567,0.0246975,0.101374684525,101,93.4696087636,0.0607329794923,93.5896707719,55.3177,-6.6705,93.2510950583,93.6000640177,6.63567,47.1333729057,1.98657284555,6.63622682184
0.992572,102,32.9118,89.6514912947,94.5736271725,6.63384709698,6.63314,0.0402475,0.116176300754,102,93.3676359828,0.0718815210779,93.5072003524,55.3874,-6.66197,93.1061484428,92.482530235,6.63314,46.7566686897,1.91524601292,6.63385097061
0.985104,103,32.9306,89.1788152886,95.2002274421,6.63177695581,6.63159,0.0237763,0.10369138876,103,93.4604746671,0.0594143417478,93.6045763687,55.4814,-6.65712,93.2807182433,93.1010749518,6.63159,47.0468213491,2.13669780868,6.63177857856
0.986164,104,32.9787,89.5118584207,98.830458856,6.61067196981,6.61015,0.0315628,0.0698299039011,104,93.4978024734,0.0648231748904,93.5849471914,55.5696,-6.63532,93.3639759737,93.4439061034,6.61015,47.2995541071,2.54170104103,6.61067482424
0.995843,105,33.0601,91.6344995198,94.5768187819,6.60810566342,6.60788,0.0321817,0.0532645508947,105,93.3786366534,0.0629773757309,93.4392800603,55.6709,-6.63086,93.2075997345,93.5240719426,6.60788,46.9272836229,1.03510958959,6.60810849787
0.992973,106,33.1247,90.2328110402,96.1698523594,6.56985502953,6.56966,0.0331641,0.0809497004158,106,93.3556836526,0.0610907091974,93.4997463822,55.7566,-6.59328,93.2101097356,93.6280358248,6.56966,46.7011944326,1.64646997236,6.56985826756
0.985866,107,33.1239,88.634427378,97.5507189294,6.55986884652,6.55966,0.0307147,0.129374400331,107,93.4150736097,0.0595247779138,93.5589114755,55.8627,-6.58617,93.1502297192,93.8603789231,6.55966,46.8096585899,2.24300678573,6.55987495546
0.983704,108,33.0842,88.3461876981,95.9483295637,6.5613290306,6.56123,0.0248451,1.17325263052,108,93.2029475272,0.0567493154324,93.6439019516,55.9117,-6.59058,87.9616170079,93.8797195783,6.56123,45.8582824154,2.05253455108,6.56133113718
0.987475,109,33.1033,88.664497253,97.5402954833,6.55668903733,6.55655,0.0249929,2.63154524885,109,91.7652775536,0.0568745588219,93.585175058,55.996,-6.58875,87.3669612238,93.4203277643,6.55655,39.66429992,2.32769652757,6.55669189358
0.988812,110,33.1346,86.9806192396,96.3892100108,6.55475878436,6.55448,0.0349483,0.123247818498,110,93.351731452,0.0650908776085,93.5039519818,56.1262,-6.58574,93.0777555208,92.8183807991,6.55448,46.5418058264,2.63092541446,6.55476241367
