MaxEsReturn,StdEsReturn,MaxReturn,MinReturn,AveragePolicySurr,AverageDiscountedReturn,AverageQLoss,AverageAbsQYDiff,AverageY,AverageAbsY,QFunRegParamNorm,AverageAbsQ,Epoch,AverageAction,AverageEsReturn,AverageReturn,PolicyRegParamNorm,StdReturn,Iteration,AverageQ,MinEsReturn
1982.90258195,0.0,1795.70480103,599.278562594,-6.12437,177.800137548,0.0733493,0.139148441799,5.99926996013,5.99930325322,38.5852,5.99811,98,0.898508,1982.90258195,1055.83461423,39.9758,349.767451449,98,5.99811,1982.90258195
1942.03743344,0.0,2933.87038093,2091.60374309,-6.27541,224.634974231,0.0867869,0.143675586426,6.1617185942,6.16175891163,38.8429,6.1603,99,0.987826,1942.03743344,2756.16056309,40.2659,235.487466938,99,6.1603,1942.03743344
2301.81819845,0.0,3265.12221757,1270.52365244,-6.39577,246.795121458,0.0922431,0.145509075851,6.27860309039,6.27864962292,39.1302,6.27756,100,0.960257,2301.81819845,2750.72144647,40.5154,662.761982834,100,6.27756,2301.81819845
2137.9535956,0.0,2772.18386567,984.680702642,-6.53451,228.002567201,0.0698522,0.137948481772,6.41618860972,6.41624635445,39.3133,6.41513,101,0.937621,2137.9535956,1742.58637529,40.8276,608.252080782,101,6.41513,2137.9535956
1772.69736015,0.0,1633.71583225,-338.478045751,-6.71029,116.593385506,0.102823,0.150034558501,6.58890618969,6.58897538608,39.5791,6.58749,102,0.908908,1772.69736015,764.115441113,40.9528,465.639465681,102,6.58749,1772.69736015
1746.6303705,0.0,2348.75660809,728.915026241,-6.85971,190.994494504,0.0955475,0.147321871411,6.73925635591,6.73928044329,39.8308,6.73816,103,0.929384,1746.6303705,1462.41067284,41.2003,627.105182604,103,6.73816,1746.6303705
1432.15752801,0.0,3158.85061595,2663.45117347,-6.99858,245.922819309,0.0887025,0.151200278585,6.87825373116,6.87830557151,40.0262,6.87711,104,0.974925,1432.15752801,2908.9425054,41.3604,167.087773672,104,6.87711,1432.15752801
1884.95763433,0.0,3044.55961498,626.534502505,-7.15683,207.584565301,0.0959085,0.155783310925,7.03309694855,7.03314208559,40.3054,7.03149,105,0.929758,1884.95763433,1419.96321495,41.5562,686.252824666,105,7.03149,1884.95763433
2225.08563214,0.0,2886.86100229,854.067080353,-7.36139,200.130252755,0.100258,0.153484478319,7.23777469227,7.23780707963,40.4982,7.23664,106,0.94492,2225.08563214,1668.53551284,41.7227,729.504185306,106,7.23658,2225.08563214
1826.36949328,0.0,2709.82293763,1008.97630648,-7.47507,206.714648641,0.112075,0.159855416197,7.34492485945,7.34494704808,40.7677,7.3438,107,0.944768,1826.36949328,2016.86536409,41.9333,630.846896617,107,7.3438,1826.36949328
