MaxEsReturn,Epoch,StdEsReturn,AverageReturn,QFunRegParamNorm,Iteration,AverageQLoss,AverageAction,AverageAbsQ,AverageAbsY,MinReturn,AverageQ,AverageAbsQYDiff,AverageY,AverageDiscountedReturn,MinEsReturn,AverageEsReturn,StdReturn,MaxReturn,PolicyRegParamNorm,AveragePolicySurr
356.667307579,78,115.043595464,367.125192423,67.4822,78,57.1534,0.730998,141.409,141.345542771,350.412235561,141.28,3.50467973499,141.297682762,177.940272665,11.3556332871,172.673222093,7.88662181093,381.308819945,41.804,-145.007
348.377186819,79,124.959417957,364.642978205,67.9872,79,54.2578,0.741684,143.091,143.015848188,327.779448673,142.954,3.40669288151,142.961626617,175.151212554,8.25791694563,188.902804359,8.45762167917,374.401747886,42.0372,-146.663
390.003800855,80,110.947015307,334.708872768,68.4469,80,63.6568,0.786016,145.005,144.934634285,289.685156687,144.864,3.63761586114,144.887079569,167.548886508,9.17896855424,152.260179586,20.8687489516,370.182742754,42.2527,-148.642
330.650659313,81,81.0572831535,355.876133752,68.9378,81,68.6717,0.767023,146.67,146.572473458,297.709590562,146.511,3.72412691273,146.513118414,172.450330289,74.9173486482,177.771767129,16.0123277278,376.508355362,42.4835,-150.288
412.835632985,82,109.018144956,292.175909879,69.4516,82,70.7097,0.768776,148.58,148.525471694,244.254751659,148.443,3.71984831291,148.465235472,154.437376238,75.4420357525,224.423430327,33.2872211073,365.72116885,42.6388,-152.231
339.316278999,83,100.995570343,371.664119147,69.9395,83,64.5327,0.751424,150.216,150.141171317,360.171750082,150.069,3.65867267227,150.082531485,177.528479544,8.1439462631,188.352776176,3.3581250576,378.014819738,42.8157,-153.867
388.471279268,84,103.447202652,354.843287631,70.4292,84,69.7686,0.765868,152.09,151.998085547,307.904454978,151.906,3.81583123489,151.924218494,172.183307833,54.9138012992,227.424174419,18.9400928524,376.724675483,42.9804,-155.778
351.723131261,85,98.2181589482,253.637231994,70.9067,85,70.811,0.764233,153.438,153.34710489,217.671889761,153.28,3.84458749148,153.29167016,142.680723958,7.86252680324,196.488566239,33.2896225573,368.677989319,43.1725,-157.243
478.398113778,86,156.475116725,269.663731192,71.3542,86,73.7253,0.780193,155.608,155.527575557,214.02215886,155.448,3.82376068261,155.464552291,146.529482973,4.91096943031,206.301709751,37.9742822142,385.753198211,43.3602,-159.408
550.875972709,87,146.374595305,393.198832093,71.7223,87,68.937,0.785033,157.376,157.271181993,341.724995329,157.204,3.80476357443,157.213870092,182.819229032,9.52455790116,194.324483153,16.4812457208,412.215983365,43.5748,-161.093
348.24324337,88,91.4109861219,343.547383673,72.2366,88,79.2216,0.730086,159.015,158.922595843,328.204946784,158.847,3.9864082966,158.863650687,168.627405551,7.49098039491,206.492643701,6.09954578242,356.170437589,43.7768,-162.791
323.14384816,89,92.2671471147,311.893082008,72.6827,89,72.1408,0.781423,160.203,160.127338987,246.505791036,160.045,3.93443973707,160.060356555,160.461590778,10.2511466421,186.192928872,17.1545210663,347.588190332,43.9952,-163.997
562.191935791,90,144.296732736,324.475717308,73.0975,90,75.5695,0.80127,162.296,162.201559912,274.248993717,162.1,3.9957308485,162.114087146,164.248231357,12.0115886614,208.290170194,20.4287483343,372.222456431,44.1492,-166.144
370.122833789,91,116.47377944,319.526963834,73.5202,91,66.1752,0.781671,164.155,164.071616207,291.706822235,163.984,3.91925781466,163.994452591,162.076622135,11.6695221647,170.534008214,23.0988831967,389.730603043,44.3277,-168.053
420.784571458,92,136.596868901,310.591601634,73.9943,92,86.1878,0.767613,166.221,166.122668986,281.369269617,166.031,4.20458952027,166.051869726,160.872955175,10.593021043,195.141198849,24.0533653563,428.704091997,44.5033,-170.1
378.358066472,93,125.388270513,319.394406949,74.4578,93,82.6201,0.760918,167.711,167.610785414,221.313931839,167.523,4.15495643548,167.531659957,162.734361736,6.24799891217,208.641072032,36.53833385,368.764575345,44.6735,-171.623
