AverageDiscountedReturn,AverageAbsQYDiff,AverageY,MaxReturn,AverageQ,AverageEsReturn,AverageAbsY,MaxEsReturn,AveragePolicySurr,MinEsReturn,AverageAction,AverageAbsQ,StdEsReturn,AverageReturn,AverageQLoss,PolicyRegParamNorm,QFunRegParamNorm,StdReturn,Epoch,Iteration,MinReturn
83.711535456,0.084853516448,4.60573039428,1038.06089742,4.60485,711.077931533,4.60576440365,711.077931533,-4.68583,711.077931533,0.94747,4.60485,0.0,1019.72704896,0.031386,89.4596,68.3371,17.0127102565,81,81,990.047026731
69.4869878681,0.0873580471527,4.67982103687,934.521496579,4.67883,752.043584665,4.67985792974,752.043584665,-4.75835,752.043584665,0.945427,4.67883,0.0,890.167588606,0.0326424,89.9609,68.7433,56.8661883767,82,82,727.91470682
75.2996385523,0.0882906490473,4.74520895657,1025.63733268,4.74442,645.835994696,4.74530149383,645.835994696,-4.82365,645.835994696,0.948983,4.74442,0.0,903.829747737,0.0365441,90.4607,69.1281,169.477804905,83,83,408.843044209
65.9855423421,0.0844291738499,4.81061049484,843.014529592,4.80972,711.322466609,4.81066752791,711.322466609,-4.89083,711.322466609,0.951731,4.80978,0.0,780.892386906,0.0281909,90.8486,69.4965,35.5207001861,84,84,729.974980087
87.9151201001,0.0852145213468,4.87816639115,1130.18047932,4.87738,705.307238376,4.8782034372,705.307238376,-4.95801,705.307238376,0.947646,4.87738,0.0,1061.72802241,0.0310251,91.3089,69.8489,47.7262423372,85,85,993.011922572
61.0260471468,0.0902642428556,4.94549011072,824.198755249,4.94476,740.702572252,4.94554610506,740.702572252,-5.02521,740.702572252,0.955462,4.94476,0.0,773.115460794,0.04135,91.8348,70.2065,41.4400310828,86,86,685.454297972
61.9233937246,0.0868357802,5.02192762679,766.453235575,5.02102,639.657628039,5.02196879547,639.657628039,-5.10261,639.657628039,0.941998,5.02102,0.0,611.051331556,0.032673,92.2616,70.547,124.282527968,87,87,400.789375826
76.450178985,0.0871018813998,5.08977203357,984.693082554,5.08919,632.133939563,5.08980585581,632.133939563,-5.17132,632.133939563,0.945273,5.08919,0.0,881.973638655,0.0316012,92.6885,70.8446,121.458353619,88,88,598.845861916
81.2250404601,0.0907470948103,5.15807283793,1036.84310377,5.1572,674.043124279,5.15812471987,674.043124279,-5.23996,674.043124279,0.953972,5.1572,0.0,988.952295767,0.0388517,93.14,71.2382,35.6433767443,89,89,928.019776104
76.7408826812,0.0895319651609,5.22736816544,1078.12047639,5.22648,715.471208358,5.22740399673,715.471208358,-5.30487,715.471208358,0.953909,5.22648,0.0,944.788694766,0.038002,93.5565,71.5853,280.090045051,90,90,109.243494935
78.6296744932,0.0908307335502,5.28716793839,939.996659366,5.28617,583.235050826,5.28721802711,583.235050826,-5.36549,583.235050826,0.956621,5.28617,0.0,860.827815081,0.0361551,94.0066,71.9567,72.046509235,91,91,729.780068383
70.7775630434,0.0952942100419,5.3504231889,940.059190473,5.34957,237.337823837,5.35047907649,237.337823837,-5.42959,237.337823837,0.959964,5.34957,0.0,820.633370469,0.0441807,94.4421,72.3348,139.921361075,92,92,424.720466524
