AverageAbsQ,AverageAbsQYDiff,StdReturn,MinReturn,MinEsReturn,Iteration,QFunRegParamNorm,AveragePolicySurr,MaxEsReturn,StdEsReturn,PolicyRegParamNorm,AverageAbsY,AverageY,AverageAction,AverageQLoss,MaxReturn,AverageReturn,Epoch,AverageQ,AverageEsReturn,AverageDiscountedReturn
5.49836,0.139785813833,51.9605325085,2285.24947544,1326.88609816,90,34.9279,-5.6055,1326.88609816,0.0,39.2031,5.49964831395,5.49959542483,0.931357,0.0646311,2455.65192875,2362.85136533,90,5.49836,1326.88609816,205.809762778
5.62852,0.137380829365,25.9957500522,2177.94344137,1613.53810129,91,35.2062,-5.74107,1613.53810129,0.0,39.3728,5.62975353008,5.62972035822,0.925934,0.0641644,2268.20788794,2214.94857027,91,5.62852,1613.53810129,191.78495581
5.75945,0.139435380957,70.0647659338,2173.43698559,1403.4231884,92,35.4123,-5.87601,1403.4231884,0.0,39.5586,5.76052555499,5.76043384943,0.924557,0.064073,2418.69504682,2341.10848378,92,5.75945,1403.4231884,213.642336862
5.90711,0.140559591878,332.207689952,1720.89642978,1391.43742438,93,35.7138,-6.02382,1391.43742438,0.0,39.6653,5.90829876719,5.90823374805,0.898463,0.0668829,2903.46326498,2706.04675346,93,5.90711,1391.43742438,237.628985792
6.05344,0.138104946943,554.173628477,1121.73781906,1771.27937539,94,35.9034,-6.16644,1771.27937539,0.0,39.827,6.05473863069,6.05470690905,0.922752,0.0606094,2948.42176248,2611.93925256,94,6.05344,1771.27937539,242.727931053
6.18982,0.141664918006,433.07828581,1376.0965402,1824.02396656,95,36.1365,-6.30344,1824.02396656,0.0,40.0255,6.19134150909,6.191282259,0.90745,0.0713842,2854.4851764,2552.95490405,95,6.18982,1824.02396656,236.755980817
6.25703,0.144776423539,596.914722508,399.855358552,937.984438798,96,36.3954,-6.36706,937.984438798,0.0,40.2233,6.25861732294,6.25855405392,0.923442,0.0775029,2481.57711971,1554.21149839,96,6.25703,937.984438798,199.850002688
6.3873,0.137161943832,793.203633478,674.903784425,1006.90754536,97,36.6,-6.50294,1006.90754536,0.0,40.4468,6.38804601362,6.38800979205,0.917862,0.0570419,2804.70487855,2075.22995884,97,6.3873,1006.90754536,219.277710997
6.51399,0.147340044183,924.370751687,506.82571865,1467.5228214,98,36.8662,-6.63054,1467.5228214,0.0,40.6906,6.51538306792,6.51530994338,0.930029,0.0797367,2901.02658062,1994.4787352,98,6.51399,1467.5228214,214.580006824
6.61162,0.145872850711,56.9657837771,2482.69621463,1372.84814598,99,37.0939,-6.73318,1372.84814598,0.0,40.9256,6.61302827715,6.61297014157,0.929801,0.0765636,2677.32899122,2588.64361998,99,6.61162,1372.84814598,218.184185185
6.72572,0.15017654313,987.951393149,-372.322759437,851.570367364,100,37.273,-6.84149,851.570367364,0.0,41.1438,6.72719784849,6.72716598389,0.93113,0.0918789,2619.45867969,1295.00246773,100,6.72572,851.570367364,193.20483393
6.82066,0.144146387177,528.961105301,110.378926755,1563.00232983,101,37.498,-6.93717,1563.00232983,0.0,41.3443,6.82206999361,6.82202563844,0.950827,0.0707528,2138.29909422,913.222549476,101,6.82066,1563.00232983,183.127350188
6.95125,0.149899580691,478.998431051,-259.057202502,792.479153151,102,37.7973,-7.06769,792.479153151,0.0,41.5344,6.95253137512,6.95246099902,0.930891,0.0830999,1005.69618244,562.553441665,102,6.95125,792.479153151,76.6803331214
7.0747,0.148442366514,975.788829442,-1.79864773375,1659.57008222,103,37.9959,-7.19582,1659.57008222,0.0,41.7187,7.07574667321,7.07570376491,0.942216,0.081378,2796.20139917,1815.58702164,103,7.0747,1659.57008222,211.556911439
7.18151,0.158074686482,524.710639666,622.532124989,653.763401798,104,38.2591,-7.30543,653.763401798,0.0,41.9043,7.18319623801,7.18311971663,0.927255,0.107021,2200.33244037,1099.68283482,104,7.18151,653.763401798,137.99420841
7.29064,0.153573319783,40.744067639,2524.93132436,1597.26160697,105,38.3867,-7.41732,1597.26160697,0.0,42.1,7.29192555336,7.29185961139,0.930287,0.0912446,2669.69420271,2587.09067067,105,7.29064,1597.26160697,214.76797615
7.40979,0.151841443983,26.1146689967,2436.51667882,639.636963112,106,38.5876,-7.52586,639.636963112,0.0,42.2235,7.41090077754,7.41086321223,0.928791,0.0886386,2515.03323144,2467.69186944,106,7.40979,639.636963112,206.880656909
7.51767,0.160058620615,33.7316443651,1971.35542747,1531.04321547,107,38.7984,-7.6393,1531.04321547,0.0,42.4671,7.51994898108,7.51992868851,0.939301,0.0975525,2072.04177893,2006.20430844,107,7.51767,1531.04321547,176.593133103
7.63012,0.160904051367,32.6583982096,2586.26311767,387.50810005,108,38.9984,-7.7532,387.50810005,0.0,42.636,7.63141725834,7.63136241383,0.943533,0.105599,2720.10016347,2654.9783252,108,7.63012,387.50810005,229.081491897
7.72854,0.152640378589,726.501606589,704.547919965,1567.19830707,109,39.1592,-7.8476,1567.19830707,0.0,42.8337,7.72957471981,7.72954117606,0.948894,0.0856367,2895.81357901,1776.59700372,109,7.72854,1567.19830707,233.43495368
7.88651,0.159774626277,38.4648222848,2443.35369762,1753.51064244,110,39.3792,-8.00913,1753.51064244,0.0,43.0314,7.88812566,7.88806290836,0.896208,0.110811,2587.82743703,2515.21583304,110,7.88651,1753.51064244,210.803087878
8.02765,0.155612616658,1124.14719803,-365.865835382,1832.46949497,111,39.5454,-8.15001,1832.46949497,0.0,43.2122,8.02883319728,8.02874489508,0.932233,0.0935785,2599.34332729,1494.51169322,111,8.02765,1832.46949497,163.468130522
8.16084,0.154907503396,720.454689896,588.961941935,1834.11902249,112,39.736,-8.28692,1834.11902249,0.0,43.3819,8.16210045395,8.16207949532,0.909405,0.0901813,2700.20026166,2020.27160457,112,8.16084,1834.11902249,207.583731153
8.30019,0.161280322552,306.838393747,170.406197162,1634.7617749,113,39.9111,-8.42352,1634.7617749,0.0,43.5236,8.30176806156,8.30172479331,0.934543,0.117161,1040.68287033,680.400857221,113,8.30019,1634.7617749,115.3495084
8.35745,0.16260896573,818.147591369,-239.895596091,555.581218365,114,40.0849,-8.47872,555.581218365,0.0,43.7031,8.35865994481,8.35861941882,0.934315,0.127175,2213.79497021,1261.7862405,114,8.35745,555.581218365,168.694235156
8.40405,0.166501124496,298.008285042,1242.91459184,533.187826204,115,40.2915,-8.52252,533.187826204,0.0,43.8343,8.40538308671,8.40530960806,0.936105,0.143254,2290.00515161,2130.43436021,115,8.40405,533.187826204,184.728441883
8.51879,0.165037226534,642.426847844,983.351391014,654.839155173,116,40.4346,-8.64079,654.839155173,0.0,44.026,8.52070607203,8.52068578877,0.938783,0.135707,2668.80932751,2019.71315407,116,8.51879,654.839155173,195.304019414
8.59816,0.155893150092,394.852948197,47.708192841,1040.27608529,117,40.6411,-8.7157,1040.27608529,0.0,44.1844,8.59907526516,8.5990200192,0.93268,0.0996875,1313.70449495,763.775278207,117,8.59816,1040.27608529,129.151711219
