AverageDiscountedReturn,AveragePolicySurr,AverageReturn,Iteration,AverageAction,StdReturn,AverageAbsQ,PolicyRegParamNorm,AverageEsReturn,MinReturn,AverageAbsY,AverageQLoss,MaxEsReturn,Epoch,AverageY,AverageAbsQYDiff,QFunRegParamNorm,StdEsReturn,AverageQ,MaxReturn,MinEsReturn
259.47733748,-119.587,2866.14363979,96,0.947132,1449.87622662,117.535,43.7709,2733.67328444,-441.750089568,117.55953803,29.4767,2733.67328444,96,117.559259161,2.18377820161,52.4255,0.0,117.535,4089.80043596,2733.67328444
346.030544942,-121.903,4194.47860642,97,0.956885,500.852665551,119.829,43.9514,2963.27931902,2770.15938585,119.852267096,29.7788,2963.27931902,97,119.851942752,2.17026212102,52.7146,0.0,119.829,4546.15358976,2963.27931902
325.710151699,-124.248,4057.84147633,98,0.955824,177.046676419,122.146,44.1868,2899.15572859,3652.40173535,122.170189745,35.0814,2899.15572859,98,122.169616767,2.31286806486,52.9806,0.0,122.146,4277.83613101,2899.15572859
338.35275525,-128.142,3958.07448641,99,0.946017,203.881551897,126.059,44.3702,2731.76237286,3476.70016972,126.090153434,44.6012,2731.76237286,99,126.089757475,2.44068681888,53.2936,0.0,126.059,4192.3522267,2731.76237286
313.622360392,-129.693,3787.96873073,100,0.966107,104.787316711,127.561,44.6042,2543.863215,3644.11549434,127.5810594,33.1689,2543.863215,100,127.580449426,2.31079008005,53.5347,0.0,127.561,3927.96976338,2543.863215
300.869083654,-133.706,3098.27382459,101,0.959301,1048.56347193,131.627,44.8837,2390.37377182,764.482100618,131.65112183,30.4366,2390.37377182,101,131.65075836,2.28757150652,53.8922,0.0,131.627,4048.88162322,2390.37377182
316.44016012,-136.103,3991.99175116,102,0.966554,310.559994455,133.981,45.0448,2660.5213882,3189.26868441,133.995609777,33.3743,2660.5213882,102,133.995198604,2.28464936349,54.21,0.0,133.98,4317.40476876,2660.5213882
307.96509208,-136.408,3856.23283232,103,0.95239,201.895173726,134.354,45.2751,2415.62012802,3383.62821534,134.378199408,40.214,2415.62012802,103,134.377748778,2.4119764565,54.5451,0.0,134.354,4068.2189224,2415.62012802
286.06082911,-140.187,3689.78370717,104,0.949975,231.527780793,138.092,45.5171,2896.68399352,3303.25687771,138.112205898,32.3187,2896.68399352,104,138.111866248,2.28829297599,54.8998,0.0,138.092,4063.26756514,2896.68399352
304.123915137,-142.765,3784.28468429,105,0.946111,74.602561949,140.614,45.6657,2485.1178189,3659.62340325,140.632803536,31.112,2485.1178189,105,140.63222754,2.35805773643,55.2329,0.0,140.614,3869.99954064,2485.1178189
297.238751389,-144.282,3757.00279861,106,0.955165,457.391943831,142.16,45.8595,2557.17197854,2526.36139605,142.185405807,41.6612,2557.17197854,106,142.185042809,2.50200749508,55.5073,0.0,142.16,4180.39020507,2557.17197854
270.815613617,-147.751,3611.08282768,107,0.951988,366.007746525,145.572,46.0638,2516.73861598,2660.39039324,145.602634786,45.8178,2516.73861598,107,145.602254899,2.51580317526,55.8551,0.0,145.572,4017.59513259,2516.73861598
326.412721784,-149.199,4206.52506397,108,0.960772,103.762388095,147.055,46.3198,2497.80718378,4031.9848961,147.068367328,33.9417,2497.80718378,108,147.067896614,2.3502784377,56.1338,0.0,147.055,4392.38010333,2497.80718378
330.132209734,-152.545,4351.0948274,109,0.957998,155.684613139,150.406,46.49,2995.00607944,4055.46985121,150.432723863,43.5368,2995.00607944,109,150.43232844,2.50649896496,56.4413,0.0,150.406,4621.44632159,2995.00607944
308.851391046,-155.061,3714.69207497,110,0.954638,1145.90618334,152.842,46.7336,2783.66258532,316.44956268,152.860313627,49.2235,2783.66258532,110,152.859931588,2.53579481414,56.7467,0.0,152.842,4429.83822527,2783.66258532
346.485103071,-157.422,3959.7569562,111,0.949492,492.400436119,155.275,46.8662,2395.31685781,2522.34867425,155.302128261,46.623,2395.31685781,111,155.301463678,2.55124833851,57.1442,0.0,155.275,4293.80234457,2395.31685781
307.713515105,-159.31,3622.79193337,112,0.935093,587.715273436,157.112,47.1225,2773.7143358,1984.59316951,157.141954924,65.2039,2773.7143358,112,157.140844451,2.77996703069,57.5146,0.0,157.11,4127.85592309,2773.7143358
