AverageDiscountedReturn,AveragePolicySurr,AverageAbsQYDiff,QFunRegParamNorm,AverageReturn,Iteration,MaxReturn,AverageQLoss,AverageY,AverageAction,MinEsReturn,PolicyRegParamNorm,AverageQ,AverageAbsY,MinReturn,StdEsReturn,Epoch,StdReturn,AverageAbsQ,AverageEsReturn,MaxEsReturn
171.879693102,-134.662,3.47136026463,65.195,346.530419503,81,627.29312608,58.6673,131.106481508,0.837806,19.0756719893,38.4734,131.083,131.134671572,289.601284391,103.705944788,81,64.0829806616,131.202,243.168030973,357.116677028
152.554410574,-136.666,3.47621377103,65.678,280.081192186,82,348.038153442,60.3077,133.033864731,0.858284,27.3400477853,38.6848,133.021,133.058072737,198.140176439,118.373702107,82,43.7154301773,133.133,177.096791662,380.741764171
166.913064276,-138.013,3.70650435833,66.2152,330.620979688,83,439.721015362,69.3859,134.365413632,0.781125,219.155681672,38.8458,134.329,134.385364117,281.880110794,55.2006769879,83,25.8353083263,134.448,303.939079151,394.513210303
164.936064383,-140.054,3.55233818164,66.7446,314.04560342,84,333.660398672,65.7421,136.618477584,0.877648,7.53230683128,39.0157,136.611,136.641692672,284.891995102,116.688270618,84,10.0231322254,136.72,211.417228125,335.245125908
157.66235893,-141.562,3.72785990931,67.2687,293.199732976,85,450.678328129,65.2275,137.955871303,0.847305,22.5260429277,39.1916,137.939,137.976605631,252.888793453,114.543319826,85,28.987677763,138.048,150.681157819,320.601544308
155.227864148,-143.524,3.78384810315,67.8914,285.741826279,86,322.131651459,71.9617,139.692058294,0.837093,9.01429517297,39.4686,139.662,139.711697221,249.759263519,100.648993897,86,13.5658432204,139.758,183.169923907,305.143516276
157.288934655,-145.036,3.71260545005,68.3874,291.366341201,87,360.589366967,68.6826,141.299254228,0.844501,55.3422230469,39.6821,141.282,141.325057711,247.922950259,99.9283933481,87,24.1883048161,141.393,193.678574673,327.934790795
153.619884236,-147.258,3.81684627753,68.9029,282.658703203,88,346.570272873,69.6397,143.458726555,0.809321,33.534480956,39.8167,143.429,143.489165675,245.882991733,114.613051146,88,15.4674563624,143.531,170.406279762,325.839159727
153.445532941,-148.767,3.70089710954,69.4564,282.334137884,89,357.883506229,63.0033,144.885541797,0.828651,34.3522871143,39.9993,144.878,144.908695555,215.682917443,124.702120819,89,28.1921824124,144.991,244.577431333,445.849772779
163.975503885,-150.546,3.88711864006,69.9808,322.021307223,90,406.218086985,70.5758,146.752282201,0.805897,5.87391538375,40.2085,146.731,146.786624184,257.903384845,100.060114888,90,25.7565744418,146.867,255.088041724,351.595856663
150.441885375,-152.399,3.94832894838,70.4147,273.308147047,91,328.766328176,74.8514,148.626290694,0.847005,44.089234119,40.3979,148.606,148.649822543,198.567436055,105.280972166,91,24.8933841745,148.742,211.328645343,346.032204411
159.63267262,-154.21,3.97268390498,70.8554,318.3029541,92,452.510931474,79.7507,150.466806037,0.823513,29.8195270669,40.5677,150.444,150.498205482,230.550885521,103.672852344,92,59.8065621943,150.551,239.811638385,359.104969268
152.802671793,-155.907,3.8914318735,71.3156,282.833423369,93,331.183273502,70.947,152.266300881,0.841151,16.42072331,40.7838,152.258,152.304085093,242.850543372,115.085177815,93,21.8247731637,152.371,164.063561066,327.459325282
162.110937229,-157.659,3.97796485855,71.7646,309.891822396,94,391.756147331,76.0741,154.016952912,0.843542,46.0099921684,40.9722,153.99,154.058468672,243.532019144,109.365629325,94,21.1151460515,154.121,180.479917042,334.238685996
155.722286462,-158.926,4.0676061342,72.1606,290.619001839,95,348.100997664,82.4066,155.162705147,0.832772,73.5033470617,41.1626,155.142,155.209529787,209.964557568,72.3113322022,95,32.1825658674,155.293,256.720250203,342.02617524
134.81580865,-160.646,3.85606401082,72.5818,227.681355858,96,292.126574116,66.2191,156.951882849,0.872954,10.8284976691,41.2295,156.939,156.990795882,186.727493203,137.119073098,96,27.9921752605,157.049,241.710380519,407.751141422
184.705345519,-161.936,4.18616591454,73.0173,443.298280525,97,748.535788778,81.714,158.201624539,0.840263,65.041175655,41.3673,158.176,158.27291381,220.753811842,110.534419001,97,128.522000299,158.335,230.957694744,394.36806762
178.419444994,-163.573,4.06706222399,73.4916,368.372862826,98,552.605574248,82.0816,159.671263491,0.817382,21.8567073397,41.4754,159.658,159.724274568,235.700712785,164.572276857,98,68.7105830837,159.821,364.79322487,669.533789748
178.021883974,-165.536,4.35007072592,73.8275,384.618995161,99,645.127198385,93.3467,161.64031886,0.830263,57.3157292831,41.6159,161.612,161.689045238,223.425677537,152.402354175,99,115.655783671,161.767,246.276003635,513.619860671
128.241028041,-167.053,4.20737238258,74.3146,299.399381648,100,977.575621837,85.6067,163.118065844,0.843651,113.614641965,41.7824,163.106,163.182324924,122.904369137,131.21349576,100,193.27675323,163.27,223.011788633,530.186896346
166.55087729,-169.35,4.32860606488,74.7077,562.442487984,101,1156.92794557,90.3104,165.320344926,0.815319,23.8656134566,41.8788,165.289,165.371569301,158.779581247,196.667813255,101,294.228690342,165.436,227.624299562,582.355859402
207.175511947,-170.837,4.24945542286,75.0463,571.234287453,102,883.985981791,93.9662,166.974779501,0.796978,9.47987618482,42.0144,166.966,167.020588323,306.054279171,133.019652768,102,131.640038535,167.119,204.321799372,465.493650261
226.160193906,-172.171,4.23172388058,75.3421,795.254223891,103,1148.62259431,84.7889,168.253502514,0.805988,5.51113563953,42.1947,168.224,168.305884224,286.096838257,104.415965896,103,177.499141549,168.394,211.32437358,316.821193964
209.511741578,-174.844,4.27725898787,75.7658,612.093208997,104,843.919290241,86.5135,170.781223193,0.783736,58.0044018915,42.3525,170.768,170.841567507,429.355538581,126.342726878,104,120.785296207,170.941,247.565032673,426.384181152
204.28918586,-176.604,4.47309317631,76.2101,632.053819155,105,1057.2348879,103.996,172.46992099,0.775647,19.3324585494,42.5013,172.441,172.521817447,304.67768659,144.903989943,105,158.931268617,172.605,218.388175157,519.282817158
182.315717313,-177.719,4.26650812289,76.4918,579.854972452,106,1271.76404654,84.6566,173.489506973,0.765133,26.7467761791,42.6041,173.474,173.548066316,419.807445694,168.312484303,106,167.513617054,173.614,282.879218724,468.282636811
202.334717573,-179.829,4.30490576169,76.8453,705.879110318,107,1526.29090354,98.5846,175.836851899,0.780111,9.80180389077,42.8041,175.825,175.89085612,273.186250631,210.535449028,107,338.675552047,175.978,284.70157129,629.317424885
173.322924728,-181.674,4.49970330986,77.2701,365.901951783,108,507.877254675,99.4145,177.505641226,0.838901,118.810904524,42.9365,177.468,177.56700258,193.94390247,117.318122602,108,112.939519572,177.652,246.361843851,519.575541089
230.726430609,-184.048,4.49555655659,77.6525,695.100564927,109,1010.96104449,103.088,179.903450163,0.822006,19.2635150003,43.0669,179.881,179.95821391,594.304460536,207.758591714,109,95.2465129188,180.05,215.225755578,669.681492241
232.102646746,-185.748,4.47128995982,78.047,951.621905242,110,1596.46691519,109.592,181.617528712,0.822472,52.5471179975,43.2213,181.605,181.666401351,306.889772227,389.613216,110,260.322272435,181.754,448.003642559,1243.53559833
166.565607376,-187.728,4.45806835854,78.5411,563.696505949,111,2771.59635559,99.1577,183.401675969,0.824368,14.3541067406,43.2958,183.382,183.452908472,189.746426384,151.655963518,111,511.062704011,183.547,216.71357019,484.844337779
163.148658812,-188.912,4.62912933849,78.8842,483.529920143,112,552.7227538,116.473,184.481751412,0.756133,12.7705030699,43.4501,184.448,184.528669575,442.643033454,166.794469788,112,20.0786019814,184.606,218.423412128,563.751561655
228.828616992,-190.75,4.59697600463,79.2644,944.895817322,113,1599.41463118,114.855,186.446051672,0.851262,100.975033535,43.618,186.417,186.493091926,513.672314233,143.619588505,113,282.406602652,186.578,361.37193347,560.0243547
161.94288104,-193.054,4.79825201974,79.6974,458.950529916,114,504.646822243,121.947,188.500064392,0.718864,107.95726535,43.7156,188.488,188.544628655,416.384193479,161.322819019,114,17.988075099,188.647,361.767897048,570.282780038
169.501345884,-194.624,4.53712019173,80.0813,446.005104423,115,666.417128464,100.836,190.211131236,0.726429,14.1534250124,43.8679,190.179,190.246935152,401.144909322,223.729923609,115,65.6576409553,190.324,284.889205385,665.52774171
162.788677018,-196.353,4.75443917793,80.4099,580.004518528,116,2348.32933067,109.979,191.836616993,0.858721,47.2997002088,44.0364,191.808,191.88557428,246.1518755,159.24569097,116,605.958521959,191.951,306.035513761,575.645605971
160.015796837,-198.161,4.51317594997,80.7103,457.527972704,117,642.104145479,104.151,193.704153823,0.709728,21.1838603205,44.1125,193.687,193.752970888,412.161363316,243.571634697,117,33.5923766673,193.815,348.356307579,722.379725503
142.861530482,-199.053,4.77184596008,81.0366,288.57725439,118,1321.6098067,120.309,194.438794195,0.833285,118.244886478,44.2503,194.42,194.486810784,241.373308227,194.975230618,118,129.140657257,194.579,306.450851839,603.026354307
159.813603109,-201.226,4.71014756048,81.4101,419.552775448,119,454.494903064,116.401,196.650495222,0.677432,39.9043764046,44.395,196.633,196.714642416,169.477369112,151.558938838,119,52.027222891,196.816,219.532750197,467.642625525
147.835063676,-202.989,4.87864013712,81.8768,312.396356269,120,760.320079129,126.924,198.277479541,0.847188,31.1290289524,44.5336,198.256,198.332851593,170.873566844,274.916745514,120,138.255105297,198.426,363.906898493,946.296960363
171.556180454,-205.092,4.71695898141,82.143,566.338830953,121,2252.14371321,116.332,200.613910254,0.856602,12.4623096306,44.6853,200.603,200.653664337,239.085228458,185.376631212,121,483.199108086,200.732,210.852221501,651.783830311
