MinEsReturn,StdEsReturn,AverageAbsY,AveragePolicySurr,MaxEsReturn,AverageAbsQYDiff,StdReturn,AverageReturn,MinReturn,Iteration,QFunRegParamNorm,AverageY,Epoch,MaxReturn,AverageDiscountedReturn,AverageQLoss,AverageAction,AverageAbsQ,PolicyRegParamNorm,AverageEsReturn,AverageQ
90.2011194061,1.45107124649,6.45189960801,-6.53885,94.422192524,0.0800097552322,0.0817514636775,93.4247758581,93.2046122184,93,49.4967,6.45189724727,93,93.5250920518,47.2243358634,0.0326355,0.996743,6.45118,28.2322,92.4675278179,6.45118
90.109755591,2.18121733577,6.48811422502,-6.56699,98.0887001918,0.0934552031757,0.0824599958153,93.4242568501,93.2019459222,94,49.6729,6.48810915331,94,93.5000041176,46.9857959456,0.0477972,0.989671,6.48724,28.2503,93.2443669408,6.48724
89.0210592511,2.6560914643,6.54572338364,-6.61646,99.4151542492,0.0778598106533,0.0685820009953,93.4212454793,93.3006506312,95,49.8553,6.54572198419,95,93.5024433639,47.2336056502,0.0315851,0.997676,6.54508,28.3301,93.5897249112,6.54508
89.778782468,2.03745062768,6.57312001649,-6.6375,96.1600150992,0.0872059053018,0.0677783979128,93.4173655001,93.3005829211,96,50.037,6.57311711609,96,93.5084837723,47.1684616978,0.0374389,0.996376,6.57266,28.3773,93.2319852256,6.57266
89.8400951378,2.17386230819,6.60819446847,-6.66271,96.692973317,0.0909165298057,0.0710656429996,93.4183355935,93.3009974554,97,50.1949,6.60819024132,97,93.5007784093,47.1722285118,0.049121,0.996328,6.60761,28.4401,93.1302628962,6.60761
86.6839605865,2.62522480945,6.61410320637,-6.66736,94.5540974278,0.070196268513,0.097095875898,93.450511068,93.3017148202,98,50.3396,6.61410201855,98,93.6000304016,47.27071109,0.0239878,0.993634,6.61404,28.5107,91.5905783789,6.61404
89.5932026499,1.90921565631,6.62816602683,-6.68091,95.7896838041,0.0776953663375,0.0812614520011,93.419594276,93.2372592559,99,50.4888,6.62816348564,99,93.6000968284,47.1097081951,0.0347827,0.994157,6.62774,28.5899,91.6961442331,6.62774
89.5232911028,2.88744502872,6.63263163595,-6.67994,99.4546270966,0.0818884984057,0.0945102322998,93.4204958233,93.3072153152,100,50.6316,6.63262789911,100,93.6000759,47.1267381143,0.0425855,0.994515,6.6323,28.654,92.850505454,6.6323
88.8930230389,1.86028179451,6.65206746077,-6.69359,95.206243611,0.0609717755599,0.0776939250805,93.4888289495,93.3717171685,101,50.8148,6.65206634373,101,93.598578096,47.2428775415,0.0211147,0.98605,6.65194,28.6454,91.960131938,6.65194
89.039607233,2.02302901427,6.67656386486,-6.7111,94.8509168542,0.0770191693149,2.46283439498,92.1866162279,86.91160182,102,50.998,6.6765612733,102,93.5994227228,41.8834327055,0.0389587,0.995581,6.67641,28.6871,92.073514395,6.67641
