MaxEsReturn,AverageDiscountedReturn,AverageAbsQ,AverageAbsQYDiff,AverageReturn,Iteration,AverageY,QFunRegParamNorm,AverageAction,PolicyRegParamNorm,MinEsReturn,AverageAbsY,AverageQ,AveragePolicySurr,Epoch,MinReturn,MaxReturn,AverageEsReturn,StdEsReturn,AverageQLoss,StdReturn
720.140937399,92.2214903467,52.3266,0.887912834458,1101.61254966,95,52.3330476414,42.4366,0.84229,39.5377,720.140937399,52.3335017001,52.3266,-53.2436,95,1037.3272464,1182.63430136,720.140937399,0.0,3.91093,47.2448616261
758.465322121,89.25731764,53.0104,0.899381681609,914.140773957,96,53.0148960158,42.653,0.860939,39.766,758.465322121,53.015332787,53.0104,-53.9038,96,725.946054587,1015.4106932,758.465322121,0.0,4.00919,87.0046640306
669.930613581,85.189634148,53.7252,0.888758774102,1089.77777065,97,53.7319293626,42.8165,0.868014,39.955,669.930613581,53.7321639489,53.7252,-54.6216,97,1041.43029589,1185.74426294,669.930613581,0.0,3.7302,43.3714731081
789.891428008,103.150111302,54.4347,0.885488273655,1109.2335633,98,54.4402915165,42.9534,0.849899,40.1047,789.891428008,54.4406019183,54.4347,-55.3307,98,-449.470824989,1364.65438903,789.891428008,0.0,3.90158,521.147552795
819.80536145,107.664349618,55.1167,0.911773201502,1137.33323113,99,55.1220081094,43.2116,0.850082,40.2797,819.80536145,55.1223000984,55.1167,-56.044,99,1085.19006272,1208.96079628,819.80536145,0.0,4.31232,40.1303785469
753.015093107,95.2380373817,55.7812,0.926023127335,983.061236613,100,55.7890078539,43.4616,0.872387,40.4535,753.015093107,55.7893964297,55.7812,-56.6916,100,949.250240902,1054.66135889,753.015093107,0.0,4.43512,29.1195079738
766.334486489,84.7889743783,56.5057,0.918031391268,954.364396346,101,56.5106425665,43.6243,0.856286,40.6061,766.334486489,56.5109879006,56.5057,-57.4204,101,880.600305122,1038.73464785,766.334486489,0.0,4.44387,49.6523838947
699.219274455,97.6518059663,57.196,0.905315733896,1073.63264589,102,57.2035823499,43.8424,0.867547,40.7458,699.219274455,57.2040245014,57.196,-58.0953,102,1045.39001455,1165.65279218,699.219274455,0.0,4.22065,34.1167237092
803.810715256,110.604465161,57.8977,0.889105168301,1242.36126895,103,57.9014879995,43.9995,0.819094,40.9197,803.810715256,57.9017781581,57.8977,-58.8054,103,1198.52644297,1290.40995392,803.810715256,0.0,3.88725,29.3821668234
847.585441167,101.080763714,58.6218,0.894385844973,1130.02123299,104,58.6283277756,44.2214,0.853042,41.1179,847.585441167,58.6286758611,58.6218,-59.5518,104,1074.52114172,1186.54176759,847.585441167,0.0,3.84802,32.0332475927
702.762597582,92.337827673,59.2988,0.923158390393,1075.9466273,105,59.3047374018,44.4044,0.822464,41.2776,702.762597582,59.3051754947,59.2988,-60.239,105,938.410326876,1203.6043378,702.762597582,0.0,4.37112,71.5686438887
730.127730845,98.9439821158,60.0273,0.923235580608,1080.13264346,106,60.0317645831,44.5631,0.890718,41.4527,730.127730845,60.0321546305,60.0273,-60.9444,106,993.79376763,1121.90606865,730.127730845,0.0,4.6899,38.0491315561
723.332101337,95.0350229454,60.6912,0.924659074305,1040.77313573,107,60.6963009975,44.8191,0.834573,41.6091,723.332101337,60.6967903537,60.6912,-61.6188,107,974.799062015,1123.59216811,723.332101337,0.0,4.8411,42.3118016491
717.319972089,109.825514381,61.3527,0.957754840506,1179.04161417,108,61.3587613039,45.0285,0.866125,41.7979,717.319972089,61.3590843866,61.3527,-62.277,108,1115.02650611,1252.07128395,717.319972089,0.0,5.52723,39.510111379
702.026541463,98.7831009286,62.0652,0.926176291417,1190.92635123,109,62.0725181642,45.2042,0.80481,41.954,702.026541463,62.0728635944,62.0652,-63.0079,109,1099.89949126,1272.09666383,702.026541463,0.0,4.62939,53.7938217435
792.858171718,105.327053353,62.7471,0.944337336279,1188.26802219,110,62.7517876596,45.3893,0.834735,42.0575,792.858171718,62.7521630794,62.7471,-63.7123,110,1126.57403866,1260.50124104,792.858171718,0.0,5.0435,44.2662060124
737.914269747,89.9433878155,63.454,0.949315028363,1108.68819238,111,63.4616627439,45.5898,0.83965,42.2582,737.914269747,63.4619886692,63.454,-64.3779,111,981.435560624,1181.30885389,737.914269747,0.0,4.86334,57.7750432821
734.591843347,87.5708286911,64.1083,0.944201636862,928.50092599,112,64.1132005451,45.7748,0.891733,42.3945,734.591843347,64.1136198552,64.1083,-65.0207,112,-461.074621157,1148.37278717,734.591843347,0.0,4.94888,465.117114291
775.497558697,102.246878509,64.7322,0.956353447851,1116.53268858,113,64.73897559,45.9804,0.848444,42.5537,775.497558697,64.7391275667,64.7322,-65.6573,113,1051.47337585,1176.41882425,775.497558697,0.0,5.47184,37.3210352323
768.797173568,108.78058004,65.3983,0.971598541181,1225.40201331,114,65.4041195433,46.2338,0.847932,42.7074,768.797173568,65.4044242448,65.3983,-66.2967,114,1159.65214661,1271.66217121,768.797173568,0.0,5.64805,30.8567315864
754.137314911,95.4293349788,66.0226,0.975169914435,1106.90824156,115,66.0285178525,46.3822,0.841009,42.8667,754.137314911,66.0288036982,66.0226,-66.9229,115,1033.18728591,1234.6568708,754.137314911,0.0,5.67681,53.6849348277
751.538472523,99.0179129111,66.5876,0.92843627714,1207.60355084,116,66.5924844612,46.4796,0.802736,43.0037,751.538472523,66.5927259669,66.5876,-67.4665,116,1159.84182883,1270.94835132,751.538472523,0.0,5.18476,40.1041197155
690.95120148,100.544946369,67.1909,0.987801602851,1109.13789073,117,67.1967241322,46.6914,0.808485,43.135,690.95120148,67.1970104932,67.1909,-68.0739,117,1064.35166774,1172.52610823,690.95120148,0.0,6.01656,35.8285235757
701.665999285,104.314651986,67.8031,0.937807678333,1068.80959404,118,67.8083789655,46.8966,0.846137,43.338,701.665999285,67.8087695214,67.8031,-68.6851,118,502.903989771,1174.32179853,701.665999285,0.0,5.23628,191.437611391
794.766755757,110.608298135,68.3664,0.989976859638,1180.80624833,119,68.372076636,47.1483,0.809959,43.4994,794.766755757,68.3725616514,68.3664,-69.2736,119,1144.94607821,1247.82130073,794.766755757,0.0,6.25289,33.0635379089
