MinReturn,AverageQ,AverageAbsQ,Epoch,MaxEsReturn,MinEsReturn,AverageY,AverageAction,AverageReturn,StdEsReturn,AveragePolicySurr,Iteration,PolicyRegParamNorm,AverageAbsY,AverageDiscountedReturn,StdReturn,QFunRegParamNorm,AverageAbsQYDiff,AverageQLoss,MaxReturn,AverageEsReturn
990.503006997,86.299,86.299,80,1314.4213516,1314.4213516,86.3126267276,0.914372,1677.54524659,0.0,-88.0198,80,40.2258,86.3129069831,241.820369822,587.309884984,47.2471,1.59614552022,11.0401,2758.97060192,1314.4213516
713.349433831,88.2078,88.2078,81,2692.24001976,2692.24001976,88.2215917724,0.927108,2354.0750728,0.0,-89.9783,81,40.5035,88.2220857474,273.908771656,1066.45906227,47.5722,1.6012150769,11.4571,4009.98179168,2692.24001976
971.451950771,90.3612,90.3612,82,1648.44163917,1648.44163917,90.3753082827,0.938144,3237.23580226,0.0,-92.147,82,40.7385,90.375577625,296.747489296,1173.30818955,47.9834,1.6061369173,12.0889,4248.46017396,1648.44163917
797.982764937,92.9708,92.9708,83,2584.09548808,2584.09548808,92.985586839,0.893501,1335.6729156,0.0,-94.7551,83,40.9738,92.9858529396,238.18749525,480.94876142,48.4058,1.6486711395,14.067,2394.96904481,2584.09548808
3817.62683358,95.6639,95.6639,84,2731.60082161,2731.60082161,95.6779117058,0.910866,3969.88188932,0.0,-97.4628,84,41.2574,95.6781961234,321.323166406,99.2129496981,48.7819,1.62320663657,11.7052,4164.77067092,2731.60082161
778.262627123,97.4794,97.4794,85,2357.16266806,2357.16266806,97.4926920669,0.93665,2805.58676262,0.0,-99.246,85,41.449,97.4929871466,302.579851813,1440.4332728,49.0861,1.68208433288,13.6425,4284.65422373,2357.16266806
500.291842438,100.775,100.775,86,2520.48574835,2520.48574835,100.786514881,0.913753,2476.62587884,0.0,-102.525,86,41.6162,100.786819348,292.83163186,1451.7574426,49.5175,1.7220547858,16.5787,4355.02415501,2520.48574835
1684.8297369,103.268,103.268,87,2719.49730921,2719.49730921,103.285436052,0.918412,3019.73458195,0.0,-105.082,87,41.8132,103.285802763,312.166785686,869.158615605,49.8674,1.69994182273,12.352,3858.01874142,2719.49730921
3907.56055083,104.884,104.884,88,2632.96858818,2632.96858818,104.893486236,0.953479,4122.33377508,0.0,-106.702,88,42.0753,104.893947313,341.560856816,98.6452828874,50.1404,1.73722736996,14.4867,4299.36300035,2632.96858818
2009.70899482,107.955,107.955,89,2703.2364826,2703.2364826,107.971752867,0.936347,3624.16039504,0.0,-109.761,89,42.3288,107.972027962,312.74631699,646.859629001,50.5453,1.81784893997,17.523,4034.6603049,2703.2364826
