MaxEsReturn,MaxReturn,AverageAbsQYDiff,AverageAction,AverageEsReturn,AverageDiscountedReturn,AverageQLoss,AveragePolicySurr,StdEsReturn,Iteration,PolicyRegParamNorm,AverageY,AverageReturn,MinEsReturn,AverageAbsQ,StdReturn,MinReturn,AverageQ,Epoch,AverageAbsY,QFunRegParamNorm
669.825493098,805.332898771,0.0872383167353,0.907275,669.825493098,59.9872999552,0.0298962,-4.72291,0.0,107,39.8138,4.64891750151,658.291368406,669.825493098,4.64846,92.466931418,505.539394601,4.64846,107,4.64893287463,37.4043
647.446958542,1067.40041498,0.0886980662157,0.886438,647.446958542,56.3817281158,0.0362431,-4.77942,0.0,108,39.9718,4.70356894764,788.312923104,647.446958542,4.70324,467.771810352,-595.151363302,4.70324,108,4.70362649519,37.5777
630.32067459,949.310133253,0.0858673457644,0.87751,630.32067459,66.2939878078,0.027105,-4.82368,0.0,109,40.0895,4.7483140675,799.40420657,630.32067459,4.74758,75.6234676113,675.907195242,4.74758,109,4.74836201723,37.7557
573.831967896,1050.01844698,0.0891682082259,0.887411,573.831967896,69.7016661621,0.0356792,-4.87274,0.0,110,40.2271,4.79776211011,927.561682875,573.831967896,4.79736,146.91001566,535.065853765,4.79736,110,4.79781615093,37.9374
587.595393985,912.1282441,0.0904487963586,0.90553,587.595393985,25.2382190257,0.0340204,-4.9238,0.0,111,40.3563,4.84570173624,402.261841407,587.595393985,4.84508,541.883538891,-596.420603855,4.84508,111,4.84575390593,38.1571
560.302912775,783.77707454,0.0907414273334,0.889887,560.302912775,44.9379766977,0.0331624,-4.97387,0.0,112,40.4898,4.89684983144,657.681459654,560.302912775,4.89635,76.1357713222,530.565762507,4.89635,112,4.89691926547,38.3676
632.978537518,970.414133995,0.092824872738,0.892766,632.978537518,54.7664454357,0.0381396,-5.03015,0.0,113,40.6372,4.95096683721,819.484519837,632.978537518,4.95042,114.559532708,589.423073034,4.95042,113,4.9510037794,38.5427
653.363152481,906.222662413,0.0942181403664,0.874908,653.363152481,63.242906958,0.0391158,-5.0815,0.0,114,40.7933,5.00036727886,742.363948738,653.363152481,4.99973,118.393177654,541.957890607,4.99973,114,5.00039137755,38.7084
648.312138567,1156.70695059,0.0976863547319,0.881084,648.312138567,53.1347131734,0.0477499,-5.12889,0.0,115,40.9253,5.04893213203,746.245273363,648.312138567,5.04832,238.673303966,442.142847208,5.04832,115,5.04901496986,38.9292
593.449062023,979.569255262,0.0918638572061,0.906124,593.449062023,56.1918630066,0.0370086,-5.18642,0.0,116,41.0561,5.10393953661,581.673943579,593.449062023,5.10346,253.593308327,131.19822636,5.10346,116,5.10397945585,39.0715
616.678244559,948.836777202,0.0916189490162,0.907892,616.678244559,64.7308051928,0.0382188,-5.24457,0.0,117,41.2229,5.1607197945,674.035083639,616.678244559,5.16004,142.634235956,385.688090094,5.16004,117,5.1607723886,39.2186
